ID,AUTHOR,TIMELINE,DATE,TITLE,TECHNIQUE,TYPE,URL
1,"AACHEN, Hans von",1601-1650,1574-75,Gaspar Rem,"Oil on canvas, 49 x 42 cm",portrait,https://www.wga.hu/html/a/aachen/portrai1.html
2,"AACHEN, Hans von",1601-1650,1574-88,Venus and Adonis,"Oil on canvas, 68 x 95 cm",mythological,https://www.wga.hu/html/a/aachen/adonis.html
3,"AACHEN, Hans von",1601-1650,1585,Portrait of Painter Josef Heintz,"Oil on canvas, 57 x 44 cm",portrait,https://www.wga.hu/html/a/aachen/portrai2.html
4,"AACHEN, Hans von",1601-1650,1590s,The Amazement of the Gods,"Oil on copper, 36 x 46 cm",mythological,https://www.wga.hu/html/a/aachen/gods.html
5,"AACHEN, Hans von",1601-1650,1593,"Pallas Athena, Venus and Juno","Oil on canvas, 54 x 67 cm",mythological,https://www.wga.hu/html/a/aachen/athena.html
6,"AACHEN, Hans von",1601-1650,1595-1600,"Bacchus, Venus and Cupid","Oil on canvas, 63 x 50 cm",mythological,https://www.wga.hu/html/a/aachen/bacchus1.html
7,"AACHEN, Hans von",1601-1650,1595-1605,"Bacchus, Ceres and Cupid","Oil on canvas, 163 x 113 cm",mythological,https://www.wga.hu/html/a/aachen/bacchus.html
8,"AACHEN, Hans von",1601-1650,1595-1605,A Couple in a Tavern,"Oil on canvas, 63 x 51 cm",genre,https://www.wga.hu/html/a/aachen/k_couple.html
9,"AACHEN, Hans von",1601-1650,1595-98,"Jupiter, Antiope and Cupid","Oil on copper, 31 x 21 cm",mythological,https://www.wga.hu/html/a/aachen/antiope.html
10,"AACHEN, Hans von",1601-1650,1596,Couple with Mirror,"Copperplate, 25 x 20 cm",genre,https://www.wga.hu/html/a/aachen/j_couple.html
11,"AACHEN, Hans von",1601-1650,1598,Allegory,"Oil on copper, 56 x 47 cm",mythological,https://www.wga.hu/html/a/aachen/allegory.html
