ID,AUTHOR,TIMELINE,DATE,TITLE,TECHNIQUE,TYPE,URL
4239,"CABAILLOT-LASSALLE, Camille-Léopold",1851-1900,1874,Elegant Woman at a Mirror,"Oil on mahogany panel, 56 x 39 cm",genre,https://www.wga.hu/html/c/cabaillo/elegantw.html
4240,"CABANEL, Alexandre",1851-1900,1863,The Birth of Venus,"Oil on canvas, 130 x 225 cm",mythological,https://www.wga.hu/html/c/cabanel/b_venus.html
4241,"CABANEL, Alexandre",1851-1900,c. 1873,Portrait of the Comtesse de Keller,"Oil on canvas, 99 x 76 cm",portrait,https://www.wga.hu/html/c/cabanel/comtesse.html
4242,"CABAT, Louis-Nicolas",1851-1900,-,Landscape,Oil on canvas,landscape,https://www.wga.hu/html/c/cabat/landscap.html
4243,"CABAT, Louis-Nicolas",1851-1900,1875,A Shepherd with his Flock,"Oil on canvas, 60 x 101 cm",genre,https://www.wga.hu/html/c/cabat/shepherd.html
4244,"CABEL, Adriaan van der",1651-1700,-,River Landscape,"Oil on panel, 55 x 83 cm",landscape,https://www.wga.hu/html/c/cabel/riverlan.html
4245,"CABEZALERO, Juan Martín",1651-1700,-,Assumption of the Virgin,"Oil on canvas, 208 x 169 cm",religious,https://www.wga.hu/html/c/cabezale/assumptx.html
4246,"CABEZALERO, Juan Martín",1651-1700,-,Ecce Homo,"Oil on canvas, 103 x 83 cm",religious,https://www.wga.hu/html/c/cabezale/eccehomo.html
4247,"CABEZALERO, Juan Martín",1651-1700,1665-70,Assumption of the Virgin,"Oil on canvas, 237 x 169 cm",religious,https://www.wga.hu/html/c/cabezale/assumpti.html
4248,"CABIANCA, Vincenzo",1851-1900,1860,Tuscan Storytellers of the 14th century,Oil on canvas,genre,https://www.wga.hu/html/c/cabian_v/storytel.html
4249,"CACCIA, Guglielmo",1601-1650,-,Abraham and the Three Angels,Oil on canvas,religious,https://www.wga.hu/html/c/caccia/guglielm/abraham.html
4250,"CACCIA, Guglielmo",1601-1650,-,Annunciation,Oil on canvas,religious,https://www.wga.hu/html/c/caccia/guglielm/annuncia.html
4251,"CACCIA, Guglielmo",1601-1650,1610s,Adoration of the Magi,Fresco,religious,https://www.wga.hu/html/c/caccia/guglielm/adorati.html
4252,"CACCIA, Guglielmo",1601-1650,1610s,Adoration of the Magi (detail),Fresco,religious,https://www.wga.hu/html/c/caccia/guglielm/adorati1.html
4253,"CACCIA, Orsola Maddalena",1601-1650,c. 1635,Birth of the Virgin,"Oil on canvas, 164 x 111 cm",religious,https://www.wga.hu/html/c/caccia/orsola/birth_v.html
4254,"CACCIA, Orsola Maddalena",1601-1650,c. 1650,Still-Life,"Oil on canvas, 37 x 99 cm",still-life,https://www.wga.hu/html/c/caccia/orsola/stillife.html
4255,"CACCIANIGA, Francesco",1701-1750,-,St Carlo Borromeo Tended by an Angel,"Oil on copper, 27 x 21 cm",religious,https://www.wga.hu/html/c/cacciani/borromeo.html
4256,"CADES, Giuseppe",1751-1800,1792,Alexander the Great Refuses to Take Water,"Tempera with wax on canvas, 81 x 114 cm",historical,https://www.wga.hu/html/c/cades/alexande.html
4257,"CADES, Giuseppe",1751-1800,c. 1787,"The Meeting of Gautier, Count of Antwerp, and his Daughter, Violante","Oil on canvas, 37 x 70 cm",historical,https://www.wga.hu/html/c/cades/meeting.html
4258,"CAFFI, Ippolito",1801-1850,-,A View of Florence,"Oil on canvas, 40 x 49 cm",landscape,https://www.wga.hu/html/c/caffi/florence.html
