ID,AUTHOR,TIMELINE,DATE,TITLE,TECHNIQUE,TYPE,URL
8778,"EAKINS, Thomas",1851-1900,1871,The Champion Single Sculls (Max Schmitt in a Single Scull),"Oil on canvas, 83 x 118 cm",landscape,https://www.wga.hu/html/e/eakins/sculls.html
8779,"EAKINS, Thomas",1851-1900,c. 1900,Clara,"Oil on canvas, 61 x 51 cm",portrait,https://www.wga.hu/html/e/eakins/clara.html
8780,"EARL, Ralph",1751-1800,1789,Elijah Boardman,"Oil on canvas, 211 x 130 cm",portrait,https://www.wga.hu/html/e/earl/boardman.html
8781,"EARLY CHRISTIAN PAINTER, Byzantine",0401-0450,5th century,Aristocratic Woman with her Children,Glass,portrait,https://www.wga.hu/html/zearly/1/3paintin/2glass1.html
8782,"EARLY CHRISTIAN PAINTER, Byzantine",0401-0450,5th century,Aristocratic Woman with her Children,Glass,portrait,https://www.wga.hu/html/zearly/1/3paintin/2glass2.html
8783,"EARLY CHRISTIAN PAINTER, Catalan",0301-0350,4th century,Head of a woman,Fresco,portrait,https://www.wga.hu/html/zearly/1/3paintin/1catalan.html
8784,"EARLY CHRISTIAN PAINTER, Coptic",0501-0550,6th century,Cupola decoration,Mural painting,religious,https://www.wga.hu/html/zearly/1/5coptic/painting/1bawit1.html
8785,"EARLY CHRISTIAN PAINTER, Coptic",0501-0550,6th century,Christ Enthroned,Mural painting,religious,https://www.wga.hu/html/zearly/1/5coptic/painting/1bawit2.html
8786,"EARLY CHRISTIAN PAINTER, Coptic",0501-0550,6th century,Cupola decoration (detail),Mural painting,religious,https://www.wga.hu/html/zearly/1/5coptic/painting/1bawit3.html
8787,"EARLY CHRISTIAN PAINTER, Coptic",0501-0550,6th century,Virgin and Child between Apostles,Mural painting,religious,https://www.wga.hu/html/zearly/1/5coptic/painting/1bawit4.html
8788,"EARLY CHRISTIAN PAINTER, Coptic",0701-0750,8th century,Christ and Abbot Mena,"Paint on sycamore fig wood, 57 x 57 cm",religious,https://www.wga.hu/html/zearly/1/5coptic/painting/2icon1.html
8789,"EARLY CHRISTIAN PAINTER, Coptic",0701-0750,8th century,Christ and Abbot Mena,"Paint on sycamore fig wood, 57 x 57 cm",religious,https://www.wga.hu/html/zearly/1/5coptic/painting/2icon2.html
8790,"EARLY CHRISTIAN PAINTER, Italian",0201-0250,200-20,Decoration,Fresco,other,https://www.wga.hu/html/zearly/1/2mural/6other/aurelii1.html
8791,"EARLY CHRISTIAN PAINTER, Italian",0201-0250,200-20,Decoration,Fresco,other,https://www.wga.hu/html/zearly/1/2mural/6other/aurelii2.html
8792,"EARLY CHRISTIAN PAINTER, Italian",0201-0250,200-50,Samaritan woman at the well,Fresco,religious,https://www.wga.hu/html/zearly/1/2mural/6other/praetex1.html
8793,"EARLY CHRISTIAN PAINTER, Italian",0201-0250,2nd century,Noe and the Dove,Fresco,religious,https://www.wga.hu/html/zearly/1/2mural/2marcell/marcel02.html
8794,"EARLY CHRISTIAN PAINTER, Italian",0201-0250,2nd century,Mural decoration,Fresco,religious,https://www.wga.hu/html/zearly/1/2mural/2marcell/marcel03.html
8795,"EARLY CHRISTIAN PAINTER, Italian",0201-0250,2nd century,Ceiling decoration (detail),Fresco,religious,https://www.wga.hu/html/zearly/1/2mural/2marcell/marcel04.html
8796,"EARLY CHRISTIAN PAINTER, Italian",0201-0250,2nd century,Ceiling decoration,Fresco,religious,https://www.wga.hu/html/zearly/1/2mural/2marcell/marcel05.html
8797,"EARLY CHRISTIAN PAINTER, Italian",0201-0250,2nd century,Ceiling decoration,Fresco,religious,https://www.wga.hu/html/zearly/1/2mural/2marcell/marcel06.html
8798,"EARLY CHRISTIAN PAINTER, Italian",0201-0250,2nd century,Ceiling decoration (detail),Fresco,religious,https://www.wga.hu/html/zearly/1/2mural/2marcell/marcel07.html
8799,"EARLY CHRISTIAN PAINTER, Italian",0201-0250,2nd century,Ceiling decoration (detail),Fresco,religious,https://www.wga.hu/html/zearly/1/2mural/2marcell/marcel08.html
8800,"EARLY CHRISTIAN PAINTER, Italian",0201-0250,2nd century,Fractio panis,Fresco,religious,https://www.wga.hu/html/zearly/1/2mural/3priscil/1greek2.html
8801,"EARLY CHRISTIAN PAINTER, Italian",0201-0250,2nd century,Fractio panis,Fresco,religious,https://www.wga.hu/html/zearly/1/2mural/3priscil/1greek3.html
8802,"EARLY CHRISTIAN PAINTER, Italian",0201-0250,2nd century,Fractio panis,Fresco,religious,https://www.wga.hu/html/zearly/1/2mural/3priscil/1greek4.html
8803,"EARLY CHRISTIAN PAINTER, Italian",0201-0250,2nd century,Fractio panis,Fresco,religious,https://www.wga.hu/html/zearly/1/2mural/3priscil/1greek5.html
8804,"EARLY CHRISTIAN PAINTER, Italian",0201-0250,2nd century,Decoration of a house,Mural,other,https://www.wga.hu/html/zearly/1/2mural/6other/sebasti2.html
8805,"EARLY CHRISTIAN PAINTER, Italian",0201-0250,2nd century,Decoration of a house,Mural,other,https://www.wga.hu/html/zearly/1/2mural/6other/sebasti3.html
8806,"EARLY CHRISTIAN PAINTER, Italian",0201-0250,3rd century,Ceiling decoration (detail),Fresco,religious,https://www.wga.hu/html/zearly/1/2mural/2marcell/marcel09.html
8807,"EARLY CHRISTIAN PAINTER, Italian",0201-0250,3rd century,Ceiling decoration,Fresco,religious,https://www.wga.hu/html/zearly/1/2mural/2marcell/marcel10.html
8808,"EARLY CHRISTIAN PAINTER, Italian",0201-0250,3rd century,Interior view,Photo,religious,https://www.wga.hu/html/zearly/1/2mural/3priscil/1greek1.html
8809,"EARLY CHRISTIAN PAINTER, Italian",0201-0250,3rd century,Old Testament scene,Fresco,religious,https://www.wga.hu/html/zearly/1/2mural/3priscil/1greek6.html
8810,"EARLY CHRISTIAN PAINTER, Italian",0201-0250,3rd century,Three Babylonian Men Thrown into the Fiery Furnace,Fresco,religious,https://www.wga.hu/html/zearly/1/2mural/3priscil/1greek7.html
8811,"EARLY CHRISTIAN PAINTER, Italian",0201-0250,3rd century,Adoration of the Magi,Fresco,religious,https://www.wga.hu/html/zearly/1/2mural/3priscil/1greek8.html
8812,"EARLY CHRISTIAN PAINTER, Italian",0201-0250,3rd century,Interior view,Fresco,religious,https://www.wga.hu/html/zearly/1/2mural/3priscil/3cooper1.html
8813,"EARLY CHRISTIAN PAINTER, Italian",0201-0250,3rd century,Interior view,Fresco,religious,https://www.wga.hu/html/zearly/1/2mural/3priscil/3cooper2.html
8814,"EARLY CHRISTIAN PAINTER, Italian",0201-0250,3rd century,Coopers,Fresco,religious,https://www.wga.hu/html/zearly/1/2mural/3priscil/3cooper3.html
8815,"EARLY CHRISTIAN PAINTER, Italian",0201-0250,3rd century,Virgin with a Prophet,Fresco,religious,https://www.wga.hu/html/zearly/1/2mural/3priscil/4prisci1.html
8816,"EARLY CHRISTIAN PAINTER, Italian",0201-0250,3rd century,Annunciation,Fresco,religious,https://www.wga.hu/html/zearly/1/2mural/3priscil/4prisci2.html
8817,"EARLY CHRISTIAN PAINTER, Italian",0201-0250,3rd century,Wall decoration,Fresco,religious,https://www.wga.hu/html/zearly/1/2mural/4callist/callist2.html
8818,"EARLY CHRISTIAN PAINTER, Italian",0201-0250,3rd century,Eucharistic Fish and Loaves,Fresco,religious,https://www.wga.hu/html/zearly/1/2mural/4callist/callist3.html
8819,"EARLY CHRISTIAN PAINTER, Italian",0201-0250,3rd century,Orants,Fresco,religious,https://www.wga.hu/html/zearly/1/2mural/4callist/callist4.html
8820,"EARLY CHRISTIAN PAINTER, Italian",0201-0250,3rd century,Orants (detail),Fresco,religious,https://www.wga.hu/html/zearly/1/2mural/4callist/callist5.html
8821,"EARLY CHRISTIAN PAINTER, Italian",0201-0250,3rd century,The Good Shepherd,Fresco,religious,https://www.wga.hu/html/zearly/1/2mural/4callist/callist6.html
8822,"EARLY CHRISTIAN PAINTER, Italian",0201-0250,3rd century,Epitaph of Atimetus,Mural painting,religious,https://www.wga.hu/html/zearly/1/2mural/6other/sebasti1.html
8823,"EARLY CHRISTIAN PAINTER, Italian",0201-0250,after 150,Interior view,Fresco,religious,https://www.wga.hu/html/zearly/1/2mural/4callist/callist1.html
8824,"EARLY CHRISTIAN PAINTER, Italian",0201-0250,around 200,The Good Shepherd,Fresco,religious,https://www.wga.hu/html/zearly/1/2mural/3priscil/2velati7.html
8825,"EARLY CHRISTIAN PAINTER, Italian",0201-0250,around 200,The Good Shepherd,Fresco,religious,https://www.wga.hu/html/zearly/1/2mural/3priscil/2velati8.html
8826,"EARLY CHRISTIAN PAINTER, Italian",0251-0300,260s,Scenes from a Christian woman's life,Fresco,religious,https://www.wga.hu/html/zearly/1/2mural/3priscil/2velati2.html
8827,"EARLY CHRISTIAN PAINTER, Italian",0251-0300,260s,Scenes from a Christian woman's life,Fresco,religious,https://www.wga.hu/html/zearly/1/2mural/3priscil/2velati3.html
8828,"EARLY CHRISTIAN PAINTER, Italian",0251-0300,260s,Scenes from a Christian woman's life,Fresco,religious,https://www.wga.hu/html/zearly/1/2mural/3priscil/2velati4.html
8829,"EARLY CHRISTIAN PAINTER, Italian",0251-0300,260s,Scenes from a Christian woman's life (detail),Fresco,religious,https://www.wga.hu/html/zearly/1/2mural/3priscil/2velati5.html
8830,"EARLY CHRISTIAN PAINTER, Italian",0251-0300,260s,Scenes from a Christian woman's life (detail),Fresco,religious,https://www.wga.hu/html/zearly/1/2mural/3priscil/2velati6.html
8831,"EARLY CHRISTIAN PAINTER, Italian",0251-0300,2nd century,Last Supper,Fresco,religious,https://www.wga.hu/html/zearly/1/2mural/1domitil/domitil1.html
8832,"EARLY CHRISTIAN PAINTER, Italian",0251-0300,3rd century,Hypogeum of the Flavi,Fresco,religious,https://www.wga.hu/html/zearly/1/2mural/1domitil/domitil2.html
8833,"EARLY CHRISTIAN PAINTER, Italian",0251-0300,3rd century,Interior view,Fresco,religious,https://www.wga.hu/html/zearly/1/2mural/3priscil/2velati1.html
