ID,AUTHOR,TIMELINE,DATE,TITLE,TECHNIQUE,TYPE,URL
14628,"JACKSON, Gilbert",1601-1650,1632,"Portrait of Jane, Countess of Winchester","Oil on canvas, 127 x 91 cm",portrait,https://www.wga.hu/html/j/jackson/portjane.html
14629,JACOBELLO DEL BONOMO,1351-1400,1385-1400,The Man of Sorrows,"Egg tempera on wood, 48 x 30 cm",religious,https://www.wga.hu/html/j/jacobel/sorrows.html
14630,JACOBELLO DEL FIORE,1401-1450,-,Madonna and Child,"Tempera on panel, gold ground, 88 x 62 cm",religious,https://www.wga.hu/html/j/jacobell/humility.html
14631,JACOBELLO DEL FIORE,1401-1450,1395-1400,Crucifixion,"Tempera and gold on panel, 127 x 135 cm",religious,https://www.wga.hu/html/j/jacobell/crucifix.html
14632,JACOBELLO DEL FIORE,1401-1450,1421,Justice between the Archangels Michael and Gabriel,"Tempera on panel, 208 x 490 cm",religious,https://www.wga.hu/html/j/jacobell/justice.html
14633,JACOBELLO DEL FIORE,1401-1450,1421,Justice between the Archangels Michael and Gabriel (detail),"Tempera on panel, 210 x 190 cm",religious,https://www.wga.hu/html/j/jacobell/justice1.html
14634,JACOBELLO DEL FIORE,1401-1450,1438,Coronation of the Virgin,"Tempera on panel, 283 x 303 cm",religious,https://www.wga.hu/html/j/jacobell/coronati.html
14635,JACOBELLO DEL FIORE,1401-1450,c. 1410,Virgin and Child,"Panel, 57 x 39 cm",religious,https://www.wga.hu/html/j/jacobell/virgin_c.html
14636,JACOBELLO DEL FIORE,1401-1450,c. 1415,Triptych of the Madonna della Misericordia,"Tempera on panel, 86 x 113 cm",religious,https://www.wga.hu/html/j/jacobell/triptych.html
14637,"JACOBSZ., Dirck",1501-1550,1529,A Group of Guardsmen of the Amsterdam Kloveniersdoelen,"Oil on panel, 119 x 174 cm (middle), 120 x 76 cm (each side)",portrait,https://www.wga.hu/html/j/jacobsz/group.html
14638,"JACOBSZ., Dirck",1501-1550,1529,A Group of Guardsmen of the Amsterdam Kloveniersdoelen (detail),"Oil on panel, 119 x 174 cm",portrait,https://www.wga.hu/html/j/jacobsz/group0.html
14639,"JACOBSZ., Dirck",1501-1550,1531,Pompeius Occo,"Oil on panel, 66 x 54 cm",portrait,https://www.wga.hu/html/j/jacobsz/pom_occo.html
14640,"JACOBSZ., Dirck",1501-1550,1532,Group Portrait of the Amsterdam Shooting Corporation,"Oil on canvas, 115 x 160 cm",portrait,https://www.wga.hu/html/j/jacobsz/group1.html
14641,"JACOBSZ., Dirck",1501-1550,1561,Group Portrait of the Amsterdam Shooting Corporation,"Oil on panel, 91 x 185 cm",portrait,https://www.wga.hu/html/j/jacobsz/group2.html
14642,"JACOBSZ., Juriaen",1651-1700,1662,Portrait of Michiel de Ruyter and His Family,"Oil on canvas, 269 x 406 cm",portrait,https://www.wga.hu/html/j/jacobszj/ruyter.html
14643,"JACOBSZ., Lambert",1601-1650,-,St Paul and the Soothsayer of Philippi,"Oil on canvas, 156 x 207 cm",religious,https://www.wga.hu/html/j/jacobszl/soothsay.html
14644,"JACOBSZ., Lambert",1601-1650,1628-36,The Disobedient Prophet,"Oil on canvas, 107 x 136 cm",religious,https://www.wga.hu/html/j/jacobszl/disobedi.html
14645,"JACOBSZ., Lambert",1601-1650,1632,Joseph's Brothers on the Road from Egypt,"Oil on panel, 55 x 71 cm",religious,https://www.wga.hu/html/j/jacobszl/josephbr.html
14646,"JACOBSZ., Lambert",1601-1650,c. 1630,Elisha and Gehazi,"Oil on canvas, 82 x 103 cm",religious,https://www.wga.hu/html/j/jacobszl/elisha.html
14647,"JACOMART, Jaume Baço",1401-1450,1450s,The Last Supper,Panel,religious,https://www.wga.hu/html/j/jacomart/lastsupp.html
14648,"JACOMART, Jaume Baço",1401-1450,c. 1447,Retable of St Anne,Panel,religious,https://www.wga.hu/html/j/jacomart/st_anne.html
14649,JACOMETTO VENEZIANO,1451-1500,1475-80,Portrait of a Boy,"Tempera and oil on panel, 23 x 20 cm",portrait,https://www.wga.hu/html/j/jacomett/port_boy.html
14650,JACOMETTO VENEZIANO,1451-1500,1485-95,"Alvise Contarini, Portrait of a Woman","Oil on panel, 11 x 8 cm, 10 x 7 cm",portrait,https://www.wga.hu/html/j/jacomett/couple.html
14651,JACOMETTO VENEZIANO,1451-1500,1485-95,"Alvise Contarini, Portrait of a Woman (reverse)","Oil on panel, 11 x 8 cm, 10 x 7 cm",portrait,https://www.wga.hu/html/j/jacomett/couple_r.html
14652,JACOMETTO VENEZIANO,1451-1500,1490s,Portrait of a Young Man,"Oil on wood, 28 x 21 cm",portrait,https://www.wga.hu/html/j/jacomett/portyoun.html
14653,JACOPO DA EMPOLI,1551-1600,-,Deposition,"Oil on canvas, 170 x 142 cm",religious,https://www.wga.hu/html/j/jacopo/empoli/depositi.html
14654,JACOPO DA EMPOLI,1551-1600,-,Supper at Emmaus,"Oil on canvas, 86 x 126 cm",religious,https://www.wga.hu/html/j/jacopo/empoli/emmaus.html
14655,JACOPO DA EMPOLI,1551-1600,-,Kitchen Still-Life,Oil on canvas,still-life,https://www.wga.hu/html/j/jacopo/empoli/kitchen.html
14656,JACOPO DA EMPOLI,1551-1600,-,St Catherine,"Oil on canvas, 108 x 84 cm",religious,https://www.wga.hu/html/j/jacopo/empoli/stcather.html
14657,JACOPO DA EMPOLI,1551-1600,-,Still-Life,Oil on canvas,still-life,https://www.wga.hu/html/j/jacopo/empoli/stil_lif.html
14658,JACOPO DA EMPOLI,1551-1600,1590s,Sacrifice of Isaac,"Oil on copper, 32 x 25 cm",religious,https://www.wga.hu/html/j/jacopo/empoli/sacrific.html
14659,JACOPO DA EMPOLI,1551-1600,1614,The Honesty of Eligius,Oil on canvas,religious,https://www.wga.hu/html/j/jacopo/empoli/eligius.html
14660,JACOPO DA EMPOLI,1551-1600,1620s,Still-Life with Games,"Oil on canvas, 114 x152 cm",still-life,https://www.wga.hu/html/j/jacopo/empoli/stillife.html
14661,JACOPO DA MONTAGNANA,1451-1500,1480-85,Lamentation of Christ,"Tempera on canvas, 148 x 110 cm",religious,https://www.wga.hu/html/j/jacopo/montagna/lamentat.html
14662,JACOPO DA MONTAGNANA,1451-1500,1494-97,The Archangel Gabriel and the Virgin Annunciate,"Tempera on wood, 191 x 76 cm (each)",religious,https://www.wga.hu/html/j/jacopo/montagna/annuncia.html
14663,JACOPO DA VALENZA,1451-1500,-,St Jerome in the Wilderness,"Oil on panel, 60 x 43 cm",religious,https://www.wga.hu/html/j/jacopo/valenza/stjerome.html
14664,JACOPO DA VALENZA,1451-1500,-,Virgin and Child,"Oil on panel, 62 x 45 cm",religious,https://www.wga.hu/html/j/jacopo/valenza/virgin_c.html
14665,JACOPO DA VALENZA,1451-1500,c. 1495,Portrait of a Young Man,"Oil on panel, 36 x 27 cm",portrait,https://www.wga.hu/html/j/jacopo/valenza/portyman.html
14666,JACOPO del CASENTINO,1301-1350,-,Madonna and Child,"Tempera on panel, 88 x 34 cm",religious,https://www.wga.hu/html/j/jacopo/casentin/madchild.html
14667,JACOPO del CASENTINO,1301-1350,1320-30,Madonna Enthroned with Angels and Saints,"Tempera on wood, 39 x 42 cm",religious,https://www.wga.hu/html/j/jacopo/casentin/madonna.html
14668,JACOPO del CASENTINO,1301-1350,1340-45,Crucifixion,Tempera on wood,religious,https://www.wga.hu/html/j/jacopo/casentin/crucifix.html
14669,JACOPO del SELLAIO,1451-1500,-,Nativity,"Tempera on panel, 57 x 37 cm",religious,https://www.wga.hu/html/j/jacopo/sellaio/nativity.html
14670,JACOPO del SELLAIO,1451-1500,-,St Jerome in the Wilderness,"Tempera on panel, 62 x 88 cm",religious,https://www.wga.hu/html/j/jacopo/sellaio/stjerome.html
14671,JACOPO del SELLAIO,1451-1500,-,Virgin and Child with the Infant St John the Baptist in a Landscape,"Tempera on panel, 68 x 39 cm",religious,https://www.wga.hu/html/j/jacopo/sellaio/virgin_j.html
14672,JACOPO del SELLAIO,1451-1500,-,Virgin and Child with the Infant St John and an Angel,"Oil on poplar panel, diameter 84 cm",religious,https://www.wga.hu/html/j/jacopo/sellaio/virginch.html
14673,JACOPO del SELLAIO,1451-1500,1470s,Esther before Ahasuerus,"Tempera on panel, 45 x 43 cm",religious,https://www.wga.hu/html/j/jacopo/sellaio/esther_a.html
14674,JACOPO del SELLAIO,1451-1500,1470s,Virgin and Child,"Panel, diameter 86 cm",religious,https://www.wga.hu/html/j/jacopo/sellaio/virgin.html
14675,JACOPO del SELLAIO,1451-1500,1470s,Virgin and Child (detail),Panel,religious,https://www.wga.hu/html/j/jacopo/sellaio/virgin_d.html
14676,JACOPO del SELLAIO,1451-1500,about 1485,St John the Baptist (detail),"Tempera on canvas, 157 x 79,5 cm",religious,https://www.wga.hu/html/j/jacopo/sellaio/baptist_.html
14677,JACOPO del SELLAIO,1451-1500,c. 1465,Scenes from the Story of the Argonauts,"Tempera on wood, gilt ornaments, 50 x 142 cm",mythological,https://www.wga.hu/html/j/jacopo/sellaio/argonaut.html
14678,JACOPO del SELLAIO,1451-1500,c. 1480,Saint John the Baptist,"Oil on panel, 52 x 33 cm",religious,https://www.wga.hu/html/j/jacopo/sellaio/johnbapt.html
14679,JACOPO del SELLAIO,1451-1500,c. 1485,St John the Baptist,"Tempera on canvas, 157 x 80 cm",religious,https://www.wga.hu/html/j/jacopo/sellaio/baptist.html
14680,JACOPO del SELLAIO,1451-1500,c. 1485,Madonna and Child with Infant St John the Baptist and Attending Angel,"Oil on panel, diameter: 85 cm",religious,https://www.wga.hu/html/j/jacopo/sellaio/madonna.html
14681,JACOPO del SELLAIO,1451-1500,c. 1490,The Banquet of Ahasuerus,"Tempera on panel, 81 x 44 cm",historical,https://www.wga.hu/html/j/jacopo/sellaio/banquet.html
14682,JACOPO DI CIONE,1351-1400,1368-70,Noli me tangere,"Egg tempera on wood, 56 x 38 cm",religious,https://www.wga.hu/html/j/jacopo/cione/2/nolime.html
14683,JACOPO DI CIONE,1351-1400,1368-70,Noli me tangere (detail),Egg tempera on wood,religious,https://www.wga.hu/html/j/jacopo/cione/2/nolime1.html
14684,JACOPO DI CIONE,1351-1400,1368-70,Noli me tangere (detail),Egg tempera on wood,religious,https://www.wga.hu/html/j/jacopo/cione/2/nolime2.html
14685,JACOPO DI CIONE,1351-1400,1369-70,The Crucifixion,"Egg tempera on wood, 154 x 139 cm",religious,https://www.wga.hu/html/j/jacopo/cione/2/crucifi.html
