ID,AUTHOR,TIMELINE,DATE,TITLE,TECHNIQUE,TYPE,URL
14944,"KALF, Willem",1651-1700,1642-44,Interior of a Kitchen,"Oil on wood, 27 x 32 cm",interior,https://www.wga.hu/html/k/kalf/kitchen.html
14945,"KALF, Willem",1651-1700,1644,Still-Life,"Oil on canvas, 103 x 81 cm",still-life,https://www.wga.hu/html/k/kalf/s_silver.html
14946,"KALF, Willem",1651-1700,1653-54,Still-Life,"Oil on canvas, 105 x 88 cm",still-life,https://www.wga.hu/html/k/kalf/stillif.html
14947,"KALF, Willem",1651-1700,1658,"Still-Life with Silver Bowl, Glasses, and Fruit","Oil on canvas, 48,5 x 59 cm",still-life,https://www.wga.hu/html/k/kalf/silvbowl.html
14948,"KALF, Willem",1651-1700,1659,"Still-Life with Fruit, Glassware, and a Wanli Bowl","Oil on canvas, 58 x 51 cm",still-life,https://www.wga.hu/html/k/kalf/wanli.html
14949,"KALF, Willem",1651-1700,1660,Still-Life with Porcelain and a Nautilus Cup,"Oil on canvas, 64 x 56 cm",still-life,https://www.wga.hu/html/k/kalf/nautiluz.html
14950,"KALF, Willem",1651-1700,1662,Still-Life with a Nautilus Cup,"Oil on canvas, 79 x 67 cm",still-life,https://www.wga.hu/html/k/kalf/nautilus.html
14951,"KALF, Willem",1651-1700,1662,Still-Life with a Nautilus Cup (detail),Oil on canvas,still-life,https://www.wga.hu/html/k/kalf/nautilux.html
14952,"KALF, Willem",1651-1700,1662,Still-Life with Chinese Porcelain Bowl,"Oil on canvas, 64 x 53 cm",still-life,https://www.wga.hu/html/k/kalf/stilporc.html
14953,"KALF, Willem",1651-1700,1663-64,"Still-Life with Lemon, Oranges and Glass of Wine","Oil on canvas, 36,5 x 30,8 cm",still-life,https://www.wga.hu/html/k/kalf/still_le.html
14954,"KALF, Willem",1651-1700,1669,Still-Life with a Late Ming Ginger Jar,"Oil on canvas, 77 x 66 cm",still-life,https://www.wga.hu/html/k/kalf/ming_jar.html
14955,"KALF, Willem",1651-1700,1678,Pronk Still-Life,"Oil on canvas, 68 x 56 cm",still-life,https://www.wga.hu/html/k/kalf/stilpron.html
14956,"KALF, Willem",1651-1700,c. 1645,Woman Pulling Water from a Well,"Oil on copper, 27 x 22 cm",genre,https://www.wga.hu/html/k/kalf/woman.html
14957,"KALF, Willem",1651-1700,c. 1653,Still-Life with Drinking-Horn,"Oil on canvas, 86 x 102 cm",still-life,https://www.wga.hu/html/k/kalf/stilhorn.html
14958,"KALF, Willem",1651-1700,c. 1655,Still-Life with Glass Goblet and Fruit,"Oil on canvas, 65 x 56 cm",still-life,https://www.wga.hu/html/k/kalf/stilglas.html
14959,"KALF, Willem",1651-1700,c. 1660,"Still-Life with an Aquamanile, Fruit, and a Nautilus Cup","Oil on canvas, 111 x 84 cm",still-life,https://www.wga.hu/html/k/kalf/stil_lif.html
14960,"KALF, Willem",1651-1700,c. 1665,Still-Life,"Oil on canvas, 74 x 65 cm",still-life,https://www.wga.hu/html/k/kalf/still_li.html
14961,"KAMPER, Godaert",1651-1700,-,Dutch Landscape,"Oil on panel, 45 x 65 cm",landscape,https://www.wga.hu/html/k/kamper/dutchlan.html
14962,"KAMPER, Godaert",1651-1700,-,Musical Party,"Oil on panel, 38 x 48 cm",genre,https://www.wga.hu/html/k/kamper/musical.html
14963,"KAMPER, Godaert",1651-1700,-,The Road through the Woods,"Oil on panel, 45 x 58 cm",landscape,https://www.wga.hu/html/k/kamper/roadwood.html
14964,"KAUFFMANN, Angelica",1751-1800,-,Bacchus and Ariadne,Oil on canvas,mythological,https://www.wga.hu/html/k/kauffman/bacchus.html
14965,"KAUFFMANN, Angelica",1751-1800,-,Portrait of General James Masterson,"Oil on canvas, painted oval, 76 x 64 cm",portrait,https://www.wga.hu/html/k/kauffman/masterso.html
14966,"KAUFFMANN, Angelica",1751-1800,-,Portrait of a Woman Dressed as Vestal Virgin,"Oil on canvas, 91,5 x 71,5 cm",portrait,https://www.wga.hu/html/k/kauffman/vestal_v.html
14967,"KAUFFMANN, Angelica",1751-1800,1764,Portrait of John Apthorp and His Daughters,"Oil on canvas, 97 x 135 cm",portrait,https://www.wga.hu/html/k/kauffman/portrait.html
14968,"KAUFFMANN, Angelica",1751-1800,1770s,Portrait of a Woman as a Vestal Virgin,"Oil on canvas, 60 x 41 cm",portrait,https://www.wga.hu/html/k/kauffman/vestal.html
14969,"KAUFFMANN, Angelica",1751-1800,1778-87,Diana and Her Nymphs Bathing,"Oil on canvas, diameter 66 cm cm",mythological,https://www.wga.hu/html/k/kauffman/dianabat.html
14970,"KAUFFMANN, Angelica",1751-1800,1780-85,Self-Portrait,"Oil on canvas, 77 x 63 cm",portrait,https://www.wga.hu/html/k/kauffman/selfport.html
