ID,AUTHOR,TIMELINE,DATE,TITLE,TECHNIQUE,TYPE,URL
20160,"NAGY BALOGH, János",1851-1900,-,Self-Portrait,"Oil on canvas, 41 x 31 cm",portrait,https://www.wga.hu/html/n/nagy/1nagybal.html
20161,"NAGY BALOGH, János",1851-1900,-,The Artist's Mother,"Oil on canvas, 57 x 45 cm",portrait,https://www.wga.hu/html/n/nagy/2nagybal.html
20162,"NAGY BALOGH, János",1851-1900,1901-05,Women Harvesting Potatoes,"Olaj, vászon, 37 x 54 cm",genre,https://www.wga.hu/html/n/nagy/3nagybal.html
20163,"NAGY BALOGH, János",1851-1900,1912,Navvies with Barrow,"Oil on canvas, 19 x 26 cm",genre,https://www.wga.hu/html/n/nagy/7nagybal.html
20164,"NAGY BALOGH, János",1851-1900,c. 1910,"Still-Life with Sieve, Roll and Mug","Oil on cardboard, 33 x 48 cm",still-life,https://www.wga.hu/html/n/nagy/4nagybal.html
20165,"NAGY BALOGH, János",1851-1900,c. 1912,Navvy,"Oil on canvas, 27 x 33 cm",genre,https://www.wga.hu/html/n/nagy/5nagybal.html
20166,"NAGY BALOGH, János",1851-1900,c. 1912,Atelier,"Oil on canvas on paste-board, 25,5 x 32 cm",interior,https://www.wga.hu/html/n/nagy/6nagybal.html
20167,"NAIVEU, Matthijs",1651-1700,-,Candle-Lit Interior,"Oil on canvas, 55 x 64 cm",interior,https://www.wga.hu/html/n/naiveu/candllit.html
20168,"NAIVEU, Matthijs",1651-1700,-,Carnival Scene,"Oil on canvas, 55 x 66 cm",genre,https://www.wga.hu/html/n/naiveu/carnival.html
20169,"NAIVEU, Matthijs",1651-1700,-,Portrait of a Gentleman,"Oil on canvas, 64 x 54 cm",portrait,https://www.wga.hu/html/n/naiveu/portgent.html
20170,"NAIVEU, Matthijs",1651-1700,-,Boy and Girl Blowing Soap Bubbles,"Oil on canvas, 50 x 42 cm",genre,https://www.wga.hu/html/n/naiveu/s_bubble.html
20171,"NAIVEU, Matthijs",1651-1700,1675,Newborn Baby,"Oil on canvas, 64 x 80 cm",genre,https://www.wga.hu/html/n/naiveu/newborn.html
20172,"NAIVEU, Matthijs",1651-1700,1679,The Holy Family,"Oil on panel, 20 x 17 cm",religious,https://www.wga.hu/html/n/naiveu/holyfami.html
20173,"NAIVEU, Matthijs",1651-1700,1680-1700,Grapes in a Niche,"Oil on canvas, 57 x 47 cm",still-life,https://www.wga.hu/html/n/naiveu/grapes.html
20174,"NAIVEU, Matthijs",1651-1700,c. 1695,Interior with an Elegant Lady Receiving a Suitor,"Oil on canvas, 55 x 65 cm",genre,https://www.wga.hu/html/n/naiveu/interior.html
20175,"NAIVEU, Matthijs",1651-1700,c. 1700,Visit to the Nursery,"Oil on canvas, 70,5 x 86,3 cm",interior,https://www.wga.hu/html/n/naiveu/nursery.html
20176,"NALDINI, Giovan Battista",1551-1600,1560s,Christ Carrying the Cross,"Oil on copper, diameter 14 cm",religious,https://www.wga.hu/html/n/naldini/carrying.html
20177,"NALDINI, Giovan Battista",1551-1600,1570s,Bathsheba,"Oil on canvas, 182 x 150 cm",mythological,https://www.wga.hu/html/n/naldini/bathsheb.html
20178,"NALDINI, Giovan Battista",1551-1600,1572-73,Lamentation over the Dead Christ,"Oil on poplar panel, 124 x 90 cm",religious,https://www.wga.hu/html/n/naldini/lamentat.html
20179,"NAPOLETANO, Filippo",1601-1650,-,Seller of Snails,"Oil on copper, 18 x 13 cm",genre,https://www.wga.hu/html/n/napoleta/seller_sn.html
20180,"NAPOLETANO, Filippo",1601-1650,1617-21,River Landscape,"Oil on canvas, 93 x 120 cm",landscape,https://www.wga.hu/html/n/napoleta/river_la.html
20181,"NAPOLETANO, Filippo",1601-1650,1618,Two Shells,"Oil on canvas, 39 x 56 cm",still-life,https://www.wga.hu/html/n/napoleta/shells.html
20182,"NAPOLETANO, Filippo",1601-1650,c. 1620,Naval Battle,"Oil on river stone from the Arno, 23 x 39 cm",landscape,https://www.wga.hu/html/n/napoleta/navalbat.html
20183,"NAPOLETANO, Filippo",1601-1650,c. 1622,Dante and Virgil in the Underworld,"Oil on slate, oval 44 x 60 cm",other,https://www.wga.hu/html/n/napoleta/dantevir.html
20184,NARDO DI CIONE,1351-1400,1350-60,Crucifixion,"Tempera on wood, 145 x 71 cm",religious,https://www.wga.hu/html/n/nardo/various/crucifix.html
20185,NARDO DI CIONE,1351-1400,1354-57,View of the chapel from the east,Fresco,religious,https://www.wga.hu/html/n/nardo/strozzi/0view1.html
20186,NARDO DI CIONE,1351-1400,1354-57,View of the chapel from the east,Fresco,religious,https://www.wga.hu/html/n/nardo/strozzi/0view2.html
20187,NARDO DI CIONE,1351-1400,1354-57,Last Judgment (west wall),Fresco,religious,https://www.wga.hu/html/n/nardo/strozzi/1west.html
20188,NARDO DI CIONE,1351-1400,1354-57,Last Judgment (detail of the blessed),Fresco,religious,https://www.wga.hu/html/n/nardo/strozzi/1west1.html
20189,NARDO DI CIONE,1351-1400,1354-57,Last Judgment (detail of the damned),Fresco,religious,https://www.wga.hu/html/n/nardo/strozzi/1west2.html
20190,NARDO DI CIONE,1351-1400,1354-57,Paradise (south wall),Fresco,religious,https://www.wga.hu/html/n/nardo/strozzi/2south.html
20191,NARDO DI CIONE,1351-1400,1354-57,Paradise (detail),Fresco,religious,https://www.wga.hu/html/n/nardo/strozzi/2south2.html
20192,NARDO DI CIONE,1351-1400,1354-57,Paradise (detail),Fresco,religious,https://www.wga.hu/html/n/nardo/strozzi/2south3.html
20193,NARDO DI CIONE,1351-1400,1354-57,Hell (north wall),Fresco,religious,https://www.wga.hu/html/n/nardo/strozzi/3north.html
20194,NARDO DI CIONE,1351-1400,1354-57,Hell (detail),Fresco,religious,https://www.wga.hu/html/n/nardo/strozzi/3north1.html
20195,NARDO DI CIONE,1351-1400,1360-65,St John the Evangelist,"Tempera on wood, 62 x 41 cm",religious,https://www.wga.hu/html/n/nardo/various/st_john.html
20196,NARDO DI CIONE,1351-1400,1360-65,St John the Evangelist (detail),Tempera on wood,religious,https://www.wga.hu/html/n/nardo/various/st_john1.html
20197,NARDO DI CIONE,1351-1400,1363-65,"Sts John the Baptist, John the Evangelist and James","Egg tempera on poplar, 160 x 148 cm",religious,https://www.wga.hu/html/n/nardo/various/saints.html
20198,NARDO DI CIONE,1351-1400,1363-65,"Sts John the Baptist, John the Evangelist and James (detail)",Egg tempera on poplar,religious,https://www.wga.hu/html/n/nardo/various/saints1.html
20199,NARDO DI CIONE,1351-1400,1363-65,"Sts John the Baptist, John the Evangelist and James (detail)",Egg tempera on poplar,religious,https://www.wga.hu/html/n/nardo/various/saints2.html
20200,NARDO DI CIONE,1351-1400,1363-65,"Sts John the Baptist, John the Evangelist and James (detail)",Egg tempera on poplar,religious,https://www.wga.hu/html/n/nardo/various/saints3.html
