ID,AUTHOR,TIMELINE,DATE,TITLE,TECHNIQUE,TYPE,URL
20726,"PACE DEL CAMPIDOGLIO, Michele",1651-1700,-,Still-Life,Oil on canvas,still-life,https://www.wga.hu/html/p/pace/stillif1.html
20727,"PACE DEL CAMPIDOGLIO, Michele",1651-1700,-,Still-Life with a Female Figure,Oil on canvas,still-life,https://www.wga.hu/html/p/pace/stillif2.html
20728,"PACE DEL CAMPIDOGLIO, Michele",1651-1700,-,Still-Life with a Female Figure,Oil on canvas,still-life,https://www.wga.hu/html/p/pace/stillif3.html
20729,"PACE DEL CAMPIDOGLIO, Michele",1651-1700,1650-70,Still-Life with Grapes,"Oil on canvas, 98 x 134 cm",still-life,https://www.wga.hu/html/p/pace/stillif4.html
20730,"PACE DEL CAMPIDOGLIO, Michele",1651-1700,1660s,Portrait of a Greyhound with Pup,Oil on canvas,portrait,https://www.wga.hu/html/p/pace/greyhoun.html
20731,PACECCO,1601-1650,c. 1645,The Judgment of Paris,"Oil on copper, 29 x 40 cm",mythological,https://www.wga.hu/html/p/pacecco/judparis.html
20732,"PACHER, Friedrich",1451-1500,1460s,Christ in Limbo,"Tempera on pine panel, 85 x 71,5 cm",religious,https://www.wga.hu/html/p/pacher_f/limbo.html
20733,"PACHER, Friedrich",1451-1500,1460s,Christ in Limbo (detail),Tempera on pine panel,religious,https://www.wga.hu/html/p/pacher_f/limbo1.html
20734,"PACHER, Friedrich",1451-1500,1477,St Anthony of Padua and St Francis of Assisi,"Tempera oan pine panel, 54,5 x 93,5 cm",religious,https://www.wga.hu/html/p/pacher_f/saints.html
20735,"PACHER, Michael",1451-1500,1465-70,Annunciation,"Panel, 100 x 97 cm",religious,https://www.wga.hu/html/p/pacher/various/1lauren1.html
20736,"PACHER, Michael",1451-1500,1465-70,St Lawrence Distributing the Alms,"Panel, 100 x 97 cm",religious,https://www.wga.hu/html/p/pacher/various/1lauren2.html
20737,"PACHER, Michael",1451-1500,1465-70,St Catherine,"Panel, 511 x 49,5 cm",religious,https://www.wga.hu/html/p/pacher/various/1lauren3.html
20738,"PACHER, Michael",1451-1500,1479-81,St Wolfgang Altarpiece: Nativity,"Wood, 173 x 140,5 cm",religious,https://www.wga.hu/html/p/pacher/wolfgang/3wolfga3.html
20739,"PACHER, Michael",1451-1500,1479-81,St Wolfgang Altarpiece: Circumcision,"Wood, 173 x 140,5 cm",religious,https://www.wga.hu/html/p/pacher/wolfgang/3wolfga4.html
20740,"PACHER, Michael",1451-1500,1479-81,St Wolfgang Altarpiece: Scenes from the Life of Christ,"Wood, 173 x 140,5 cm (each panel)",religious,https://www.wga.hu/html/p/pacher/wolfgang/3wolfgaa.html
20741,"PACHER, Michael",1451-1500,1479-81,St Wolfgang Altarpiece: Baptism of Christ,"Wood, 173 x 140,5 cm",religious,https://www.wga.hu/html/p/pacher/wolfgang/3wolfgab.html
20742,"PACHER, Michael",1451-1500,1479-81,St Wolfgang Altarpiece: Temptation of Christ,"Wood, 173 x 140,5 cm",religious,https://www.wga.hu/html/p/pacher/wolfgang/3wolfgac.html
20743,"PACHER, Michael",1451-1500,1479-81,St Wolfgang Altarpiece: The Attempt to Stone Christ,"Wood, 173 x 140,5 cm",religious,https://www.wga.hu/html/p/pacher/wolfgang/3wolfgad.html
20744,"PACHER, Michael",1451-1500,1479-81,St Wolfgang Altarpiece: Purification of the Temple,"Wood, 173 x 140,5 cm",religious,https://www.wga.hu/html/p/pacher/wolfgang/3wolfgae.html
20745,"PACHER, Michael",1451-1500,1479-81,St Wolfgang Altarpiece: Scenes from the Life of Christ,"Wood, 173 x 140,5 cm (each panel)",religious,https://www.wga.hu/html/p/pacher/wolfgang/3wolfgaf.html
20746,"PACHER, Michael",1451-1500,1479-81,St Wolfgang Altarpiece: Marriage at Cana,"Wood, 173 x 140,5 cm",religious,https://www.wga.hu/html/p/pacher/wolfgang/3wolfgag.html
20747,"PACHER, Michael",1451-1500,1479-81,St Wolfgang Altarpiece: The Miracle of the Bread,"Wood, 173 x 140,5 cm",religious,https://www.wga.hu/html/p/pacher/wolfgang/3wolfgah.html
20748,"PACHER, Michael",1451-1500,1479-81,St Wolfgang Altarpiece: Christ and the Adulteress,"Wood, 173 x 140,5 cm",religious,https://www.wga.hu/html/p/pacher/wolfgang/3wolfgai.html
20749,"PACHER, Michael",1451-1500,1479-81,St Wolfgang Altarpiece: Resurrection of Lazarus,"Tempera on wood, 175 x 130 cm",religious,https://www.wga.hu/html/p/pacher/wolfgang/3wolfgaj.html
20750,"PACHER, Michael",1451-1500,1495-98,Flagellation,"Panel, 113 x 139,5 cm",religious,https://www.wga.hu/html/p/pacher/various/5salzbu1.html
20751,"PACHER, Michael",1451-1500,1495-98,The Engagement of Virgin,"Panel, 113 x 139,5 cm",religious,https://www.wga.hu/html/p/pacher/various/5salzbu2.html
20752,"PACHER, Michael",1451-1500,c. 1483,Altarpiece of the Church Fathers,"Wood, 212 x 200 cm (central), 216 x 91 cm (each side)",religious,https://www.wga.hu/html/p/pacher/various/2father1.html
20753,"PACHER, Michael",1451-1500,c. 1483,Altarpiece of the Church Fathers: St Augustine and St Gregory,"Wood, 212 x 100 cm",religious,https://www.wga.hu/html/p/pacher/various/2father2.html
20754,"PACHER, Michael",1451-1500,c. 1483,Altarpiece of the Church Fathers: St Jerome,"Wood, 216 x 91 cm",religious,https://www.wga.hu/html/p/pacher/various/2father3.html
20755,"PACHER, Michael",1451-1500,c. 1483,Altarpiece of the Church Fathers: Vision of St Sigisbert,"Panel, 103 x 91 cm",religious,https://www.wga.hu/html/p/pacher/various/2father4.html
20756,"PACHER, Michael",1451-1500,c. 1483,Altarpiece of the Church Fathers: St Augustine Liberating a Prisoner,"Panel, 103 x 91 cm",religious,https://www.wga.hu/html/p/pacher/various/2father5.html
20757,"PACHER, Michael",1451-1500,c. 1490,Mary of Burgundy,"Oil on wood, 47,5 x 35 cm",portrait,https://www.wga.hu/html/p/pacher/various/4mary.html
20758,PACINO DI BONAGUIDA,1301-1350,-,Tree of the Cross,Panel,religious,https://www.wga.hu/html/p/pacino/zcross.html
20759,PACINO DI BONAGUIDA,1301-1350,1315-20,Miracle of the Tomb of St Proculus,"Tempera on panel, gold ground, 21 x 32 cm",religious,https://www.wga.hu/html/p/pacino/z_tomb.html
