ID,AUTHOR,TIMELINE,DATE,TITLE,TECHNIQUE,TYPE,URL
22774,"RAEBURN, Sir Henry",1751-1800,-,Captain Hay of Spot,"Oil on canvas, 240 x 151 cm",portrait,https://www.wga.hu/html/r/raeburn/captain.html
22775,"RAEBURN, Sir Henry",1751-1800,-,Portrait of Captain James Forbes-Drummond of Hawthornden,"Oil on canvas, 77 x 64 cm",portrait,https://www.wga.hu/html/r/raeburn/forbes.html
22776,"RAEBURN, Sir Henry",1751-1800,-,Portrait of a Young Indian Woman,"Oil on canvas, 76 x 64 cm",portrait,https://www.wga.hu/html/r/raeburn/indianwo.html
22777,"RAEBURN, Sir Henry",1751-1800,-,Portrait of Ralph Anthony Ironside,"Oil on canvas, 77 x 64 cm",portrait,https://www.wga.hu/html/r/raeburn/ironside.html
22778,"RAEBURN, Sir Henry",1751-1800,1790s,Portrait of Mrs. Eleanor Bethune,"Oil on canvas, 76 x 64 cm",portrait,https://www.wga.hu/html/r/raeburn/bethune.html
22779,"RAEBURN, Sir Henry",1751-1800,1794-95,Portrait of Sir John Sinclair,"Oil on canvas, 238 x 154 cm",portrait,https://www.wga.hu/html/r/raeburn/sinclair.html
22780,"RAEBURN, Sir Henry",1751-1800,1798-1800,Young Girl Holding Flowers,"Oil on canvas, 92 x 71 cm",portrait,https://www.wga.hu/html/r/raeburn/young_gi.html
22781,"RAEBURN, Sir Henry",1751-1800,1818,Portrait of Anne Blair Maconochie Welwood of Garvock,"Oil on canvas, 78 x 65 cm",portrait,https://www.wga.hu/html/r/raeburn/anneblai.html
22782,"RAEBURN, Sir Henry",1751-1800,c. 1810,Mrs. Anne Hart,"Oil on canvas, 135 x 109 cm",portrait,https://www.wga.hu/html/r/raeburn/annehart.html
22783,RAFFAELLINO DEL GARBO,1451-1500,-,Virgin and Child Enthroned with Sts Mary Magdalene and Catherine,"Tempera on panel, diameter 92 cm",religious,https://www.wga.hu/html/r/raffaell/tondo1.html
22784,RAFFAELLINO DEL GARBO,1451-1500,1510s,Annunciation,"Oil on panel, 58 x 91 cm",religious,https://www.wga.hu/html/r/raffaell/annuncia.html
22785,RAFFAELLINO DEL GARBO,1451-1500,c. 1495,Portrait of a Young Man,"Tempera on poplar panel, 42 x 32 cm",portrait,https://www.wga.hu/html/r/raffaell/port_man.html
22786,RAFFAELLINO DEL GARBO,1451-1500,c. 1500,Virgin and Child with the Infant St John the Baptist,"Oil on panel, diameter 87 cm",religious,https://www.wga.hu/html/r/raffaell/tondo.html
22787,RAFFAELLINO DEL GARBO,1451-1500,c. 1510,Coronation of the Virgin,"Oil on wood, 292 x 164 cm",religious,https://www.wga.hu/html/r/raffaell/coronati.html
22788,RAFFAELLO Sanzio,1501-1550,1500-01,God the Father and the Virgin Mary (fragments of the Baronci Altarpiece),"Oil on wood, 112 x 75 cm (God), 51 x 41 cm (Virgin)",religious,https://www.wga.hu/html/r/raphael/1early/02baron0.html
22789,RAFFAELLO Sanzio,1501-1550,1500-01,Angel (fragment of the Baronci Altarpiece),"Oil on wood, 57 x 36 cm",religious,https://www.wga.hu/html/r/raphael/1early/02baron1.html
22790,RAFFAELLO Sanzio,1501-1550,1500-01,Angel (fragment of the Baronci Altarpiece),"Oil on wood, 31 x 27 cm",religious,https://www.wga.hu/html/r/raphael/1early/02baron2.html
