ID,AUTHOR,TIMELINE,DATE,TITLE,TECHNIQUE,TYPE,URL
31495,ZACCHIA di Antonio da Vezzano,1501-1550,-,Portrait of a Lady,"Oil on panel, transferred to canvas, 84 x 67 cm",portrait,https://www.wga.hu/html/z/zacchia/vecchio/portlad.html
31496,ZACCHIA di Antonio da Vezzano,1501-1550,-,Portrait of a Lady (detail),"Oil on panel, transferred to canvas",portrait,https://www.wga.hu/html/z/zacchia/vecchio/portlad1.html
31497,"ZAGANELLI, Bernardino di Bosio",1451-1500,-,The Holy Family,"Oil on panel, 33 x 28 cm",religious,https://www.wga.hu/html/z/zaganell/bernardi/holyfami.html
31498,"ZAGANELLI, Bernardino di Bosio",1451-1500,-,Madonna and Child with Sts Mary Magdalene and Catherine of Alexandria,"Tempera on panel, 27 x 20 cm",religious,https://www.wga.hu/html/z/zaganell/bernardi/madchild.html
31499,"ZAGANELLI, Bernardino di Bosio",1451-1500,1505-06,Christ on the Cross with St Jerome and an Augustinian Saint,"Oil on wood, 34 x 27 cm",religious,https://www.wga.hu/html/z/zaganell/bernardi/christ_c.html
31500,"ZAGANELLI, Bernardino di Bosio",1451-1500,c. 1500,Portrait of a Lady,"Oil on panel, 33 x 25 cm",portrait,https://www.wga.hu/html/z/zaganell/bernardi/portlady.html
31501,"ZAGANELLI, Francesco di Bosio",1451-1500,-,"The Christ Child between Sts Catherine, Francis and Elizabeth of Hungary","Oil on panel, 44 x 53 cm",religious,https://www.wga.hu/html/z/zaganell/francesc/christ_c.html
31502,"ZAHRTMANN, Kristian",1851-1900,1882,The Death of Queen Sophie Amalie,"Oil on canvas, 93 x 87 cm",genre,https://www.wga.hu/html/z/zahrtman/deathque.html
31503,"ZAIS, Giuseppe",1701-1750,-,Landscape,Oil on canvas,landscape,https://www.wga.hu/html/z/zais/landsc_p.html
31504,"ZAIS, Giuseppe",1701-1750,-,Landscape with Shepherds and Fishermen,Oil on canvas,landscape,https://www.wga.hu/html/z/zais/landsc_s.html
31505,"ZAIS, Giuseppe",1701-1750,-,Italianate Landscape,"Oil on canvas, 95 x 130 cm",landscape,https://www.wga.hu/html/z/zais/landsca1.html
31506,"ZAIS, Giuseppe",1701-1750,-,Italianate Landscape,"Oil on canvas, 95 x 130 cm",landscape,https://www.wga.hu/html/z/zais/landsca2.html
31507,"ZAIS, Giuseppe",1701-1750,-,Pastoral Landscape,"Oil on canvas, 67 x 92 cm",landscape,https://www.wga.hu/html/z/zais/pastoral.html
31508,"ZAIS, Giuseppe",1701-1750,-,Southern Seaport,"Oil on canvas, 98 x 130 cm",landscape,https://www.wga.hu/html/z/zais/seaport.html
31509,"ZAIS, Giuseppe",1701-1750,1730,Landscape with Ruins and Archway,"Oil on canvas, 97 x 147 cm",landscape,https://www.wga.hu/html/z/zais/landsc_a.html
31510,"ZAIS, Giuseppe",1701-1750,1735-40,Ancient Ruins with a Great Arch and a Column,"Oil on canvas, 91 x 201 cm",landscape,https://www.wga.hu/html/z/zais/ancient.html
31511,"ZAIS, Giuseppe",1701-1750,1765-70,The Swing,"Oil on canvas, 53 x 39 cm",genre,https://www.wga.hu/html/z/zais/theswing.html
31512,"ZAIS, Giuseppe",1701-1750,c. 1740,Landscape with River and Bridge,"Oil on canvas, 97 x 143 cm",landscape,https://www.wga.hu/html/z/zais/landsc_r.html
31513,"ZAMACOIS Y ZABALA, Eduardo",1851-1900,1868,"Jesters Playing ""Cochonnet""","Oil on panel, 46 x 36 cm",genre,https://www.wga.hu/html/z/zamacois/jesters.html
31514,"ZAMACOIS Y ZABALA, Eduardo",1851-1900,1868,Return to Monastery,"Oil on canvas, 55 x 101 cm",genre,https://www.wga.hu/html/z/zamacois/return.html
31515,"ZAMACOIS Y ZABALA, Eduardo",1851-1900,c. 1568,Untimely Visit,"Oil on panel, 23 x 30 cm",genre,https://www.wga.hu/html/z/zamacois/untimely.html
