ID,AUTHOR,TIMELINE,DATE,TITLE,TECHNIQUE,TYPE,URL
1076,"BABUREN, Dirck van",1601-1650,1616-17,The Capture of Christ with the Malchus Episode,"Oil on canvas, 125 x 95 cm",religious,https://www.wga.hu/html/b/baburen/capture.html
1077,"BABUREN, Dirck van",1601-1650,1617-19,The Entombment of Christ,"Oil on canvas, 219 x 140 cm",religious,https://www.wga.hu/html/b/baburen/entombme.html
1078,"BABUREN, Dirck van",1601-1650,1621,Man Playing a Jew's Harp,"Oil on canvas, 65 x 53 cm",genre,https://www.wga.hu/html/b/baburen/jewsharp.html
1079,"BABUREN, Dirck van",1601-1650,1622,The Procuress,"Oil on canvas, 102 x 108 cm",genre,https://www.wga.hu/html/b/baburen/procures.html
1080,"BABUREN, Dirck van",1601-1650,1623,Prometheus Being Chained by Vulcan,"Oil on canvas, 202 x 184 cm",mythological,https://www.wga.hu/html/b/baburen/promethe.html
1081,"BABUREN, Dirck van",1601-1650,c. 1615,St Sebastian Attended by St Irene and Her Maid,"Oil on canvas, 169 x 128 cm",religious,https://www.wga.hu/html/b/baburen/sebastia.html
1082,"BABUREN, Dirck van",1601-1650,c. 1616,Christ Washing the Apostles Feet,"Oil on canvas, 199 x 297 cm",religious,https://www.wga.hu/html/b/baburen/christwa.html
1083,"BABUREN, Dirck van",1601-1650,c. 1623,Apollo Flaying Marsyas,"Oil on canvas, 192 x 160 cm",mythological,https://www.wga.hu/html/b/baburen/flaying.html
1084,BACCHIACCA,1501-1550,-,Baptism of Christ with Saints,"Panel, 248 x 213 cm",religious,https://www.wga.hu/html/b/bacchiac/baptism1.html
1085,BACCHIACCA,1501-1550,1515-16,Scenes from the Story of Joseph: Joseph Sold by His Brethren,"Oil on wood transferred to canvas, 26 x 14 cm",religious,https://www.wga.hu/html/b/bacchiac/joseph1.html
1086,BACCHIACCA,1501-1550,1515-16,Scenes from the Story of Joseph: The Arrest of His Brethren,"Oil on wood transferred to canvas, 26 x 14 cm",religious,https://www.wga.hu/html/b/bacchiac/joseph2.html
1087,BACCHIACCA,1501-1550,1515-16,Scenes from the Story of Joseph: The Arrest of His Brethren (detail),Oil on wood,religious,https://www.wga.hu/html/b/bacchiac/joseph2d.html
1088,BACCHIACCA,1501-1550,1515-16,Scenes from the Story of Joseph: The Search for the Cup,"Oil on wood, 26 x 14 cm",religious,https://www.wga.hu/html/b/bacchiac/joseph3.html
1089,BACCHIACCA,1501-1550,1515-16,Scenes from the Story of Joseph: The Search for the Cup (detail),Oil on wood,religious,https://www.wga.hu/html/b/bacchiac/joseph3d.html
1090,BACCHIACCA,1501-1550,1515-16,Scenes from the Story of Joseph: The Discovery of the Stolen Cup,"Oil on wood, 26 x 14 cm",religious,https://www.wga.hu/html/b/bacchiac/joseph4.html
1091,BACCHIACCA,1501-1550,1515-16,Scenes from the Story of Joseph: The Discovery of the Stolen Cup (detail),Oil on wood,religious,https://www.wga.hu/html/b/bacchiac/joseph4d.html
1092,BACCHIACCA,1501-1550,1523-24,Baptism of Christ,"Oil on poplar panel, 58 x 41 cm",religious,https://www.wga.hu/html/b/bacchiac/baptism2.html
1093,BACCHIACCA,1501-1550,1530s,"Madonna with Child, St Elisabeth and the Infant St John the Baptist","Oil on wood, 60 x 50,5 cm",religious,https://www.wga.hu/html/b/bacchiac/madonna.html
1094,BACCHIACCA,1501-1550,1540s,Woman with a Cat,"Oil on poplar, 26 x 19 cm",portrait,https://www.wga.hu/html/b/bacchiac/womancat.html
1095,BACCHIACCA,1501-1550,c. 1518,Deposition,"Oil on wood, 93 x 71 cm",religious,https://www.wga.hu/html/b/bacchiac/depositi.html
1096,BACCHIACCA,1501-1550,c. 1520,Baptism of Christ,"Gum tempera on wood, 53 x 36 cm",religious,https://www.wga.hu/html/b/bacchiac/baptism.html
1097,BACCHIACCA,1501-1550,c. 1520,The Preaching of Saint John the Baptist,"Oil on wood, 68,5 x 92 cm",religious,https://www.wga.hu/html/b/bacchiac/preach.html
1098,BACCHIACCA,1501-1550,c. 1520,The Preaching of Saint John the Baptist (detail),Oil on wood,religious,https://www.wga.hu/html/b/bacchiac/preach_d.html
1099,BACICCIO,1651-1700,1665,Portrait of Gian Lorenzo Bernini,"Oil on canvas, 72 x 61 cm",portrait,https://www.wga.hu/html/b/baciccio/bernini.html
1100,BACICCIO,1651-1700,1667,The Pietà (Mary Lamenting the Dead Christ),"Oil on canvas, 183 x 116 cm",religious,https://www.wga.hu/html/b/baciccio/pieta.html
1101,BACICCIO,1651-1700,1672-85,Nave vault,Fresco,religious,https://www.wga.hu/html/b/baciccio/il_gesu.html
1102,BACICCIO,1651-1700,1674-76,Portrait of a Lady,"Oil on canvas, 73 x 59 cm",portrait,https://www.wga.hu/html/b/baciccio/portlady.html
1103,BACICCIO,1651-1700,1676-79,Adoration of the Name of Jesus,Fresco,religious,https://www.wga.hu/html/b/baciccio/il_gesu1.html
1104,BACICCIO,1651-1700,1676-79,Cupola decoration,Fresco,religious,https://www.wga.hu/html/b/baciccio/il_gesu2.html
1105,BACICCIO,1651-1700,1684-85,The Three Maries at the Empty Sepulchre,"Oil on canvas, 87 x 113 cm",religious,https://www.wga.hu/html/b/baciccio/threemar.html
1106,BACICCIO,1651-1700,1687-90,Holy Family with the Young St John the Baptist and St Elizabeth,"Oil on canvas, 47 x 30 cm",religious,https://www.wga.hu/html/b/baciccio/holyfami.html
1107,BACICCIO,1651-1700,1690s,A Blessed Abbes Receiving the Host from the Hands of Christ,"Oil on canvas, 75 x 43 cm",religious,https://www.wga.hu/html/b/baciccio/blessed.html
1108,BACICCIO,1651-1700,1707,Nave vault,Fresco,religious,https://www.wga.hu/html/b/baciccio/ap_fran.html
1109,BACICCIO,1651-1700,1707,Apotheosis of the Franciscan Order,Fresco,religious,https://www.wga.hu/html/b/baciccio/ap_franc.html
1110,BACICCIO,1651-1700,c. 1667,Cardinal Leopoldo de' Medici,"Oil on canvas, 73 x 60 cm",portrait,https://www.wga.hu/html/b/baciccio/l_medici.html
1111,BACICCIO,1651-1700,c. 1675,The Vision of St Francis Xavier,"Oil on canvas, 65 x 46 cm",religious,https://www.wga.hu/html/b/baciccio/s_xavier.html
1112,BACICCIO,1651-1700,c. 1676,St John the Baptist,"Oil on canvas, 184 x 119 cm",religious,https://www.wga.hu/html/b/baciccio/baptist.html
1113,BACICCIO,1651-1700,c. 1685,Apotheosis of St Ignatius,"Oil on canvas, 48 x 63,5 cm",religious,https://www.wga.hu/html/b/baciccio/apotheos.html
1114,BACICCIO,1651-1700,c. 1687,The Continence of Scipio,"Oil on canvas mounted on panel, 33 x 44 cm",historical,https://www.wga.hu/html/b/baciccio/continen.html
1115,BACICCIO,1651-1700,c. 1690,The Preaching of St John the Baptist,"Oil on canvas, 181 x 172 cm",religious,https://www.wga.hu/html/b/baciccio/preachin.html
1116,"BACKER, Jacob Adriaensz.",1601-1650,-,Portrait of an Old Woman,"Oil on wood, 71 x 61 cm",portrait,https://www.wga.hu/html/b/backer/port_old.html
1117,"BACKER, Jacob Adriaensz.",1601-1650,-,Portrait of a Woman,"Oil on canvas, 128 x 99 cm",portrait,https://www.wga.hu/html/b/backer/port_wom.html
1118,"BACKER, Jacob Adriaensz.",1601-1650,-,Portrait of a Lady,"Oil on canvas, 77 x 61 cm",portrait,https://www.wga.hu/html/b/backer/portlady.html
1119,"BACKER, Jacob Adriaensz.",1601-1650,1639-51,Portrait of Johannes Lutma,"Oil on panel, 91 x 71 cm",portrait,https://www.wga.hu/html/b/backer/p_lutma.html
1120,"BACKER, Jacob Adriaensz.",1601-1650,c. 1633,The Tribute Money,"Oil on canvas, 139 x 159 cm",religious,https://www.wga.hu/html/b/backer/tributem.html
1121,"BACKER, Jacob Adriaensz.",1601-1650,c. 1633,The Tribute Money (detail),Oil on canvas,religious,https://www.wga.hu/html/b/backer/tributex.html
1122,"BACKER, Jacob Adriaensz.",1601-1650,c. 1635,Granida and Daifilo,"Oil on canvas, 125 x 162 cm",mythological,https://www.wga.hu/html/b/backer/granida.html
1123,"BACKER, Jacob Adriaensz.",1601-1650,c. 1635,The Hearing,"Oil on wood, 73 x 62 cm",mythological,https://www.wga.hu/html/b/backer/hearing.html
1124,"BACKER, Jacob Adriaensz.",1601-1650,c. 1645,Portrait of Geertruida Hasselaer,"Oil on canvas, 97 x 75 cm",portrait,https://www.wga.hu/html/b/backer/porthass.html
1125,"BACKER, Jacob Adriaensz.",1601-1650,c. 1650,Venus and Adonis,"Oil on canvas, 200 x 237 cm",mythological,https://www.wga.hu/html/b/backer/venus_ad.html
