ID,AUTHOR,TIMELINE,DATE,TITLE,TECHNIQUE,TYPE,URL
7288,"D'ORSI, Achille",1851-1900,1880,Proximus tuus,Bronze,genre,https://www.wga.hu/html/d/d_orsi/proximus.html
7289,"DADDI, Bernardo",1301-1350,1324,The Martyrdom of St Stephen,Fresco,religious,https://www.wga.hu/html/d/daddi/stephen.html
7290,"DADDI, Bernardo",1301-1350,1328,Madonna and Child with Sts Matthew and Nicholas,"Tempera on wood, 144 x 194 cm",religious,https://www.wga.hu/html/d/daddi/mad_chil.html
7291,"DADDI, Bernardo",1301-1350,1334,Madonna and Child Enthroned with Angels and Saints,"Tempera on wood, 56 x 26 cm",religious,https://www.wga.hu/html/d/daddi/mad_enth.html
7292,"DADDI, Bernardo",1301-1350,1334-36,St Catherine of Alexandria,"Tempera and gold on panel, 62 x 31 cm",religious,https://www.wga.hu/html/d/daddi/s_cather.html
7293,"DADDI, Bernardo",1301-1350,1335,Madonna and Child,Panel,religious,https://www.wga.hu/html/d/daddi/madonna.html
7294,"DADDI, Bernardo",1301-1350,1335-40,Triptych,"Tempera on panel, 59 x 53 cm",religious,https://www.wga.hu/html/d/daddi/triptych.html
7295,"DADDI, Bernardo",1301-1350,1335-40,Triptych (detail),Tempera on wood,religious,https://www.wga.hu/html/d/daddi/triptycx.html
7296,"DADDI, Bernardo",1301-1350,1338,The Temptation of St Thomas Aquinas,"Poplar, 38 x 34 cm",religious,https://www.wga.hu/html/d/daddi/s_thomas.html
7297,"DADDI, Bernardo",1301-1350,1338-40,Triptych,"Poplar, 42 x 22 cm (centre), 38 x 15 cm (each wing)",religious,https://www.wga.hu/html/d/daddi/triptyc.html
7298,"DADDI, Bernardo",1301-1350,1340-45,The Coronation of the Virgin,"Tempera on wood, 112 x 76 cm",religious,https://www.wga.hu/html/d/daddi/coronat1.html
7299,"DADDI, Bernardo",1301-1350,1340-45,The Coronation of the Virgin (without frame),Tempera on wood,religious,https://www.wga.hu/html/d/daddi/coronat2.html
7300,"DADDI, Bernardo",1301-1350,1340-45,The Coronation of the Virgin (detail),Tempera on wood,religious,https://www.wga.hu/html/d/daddi/coronat3.html
7301,"DADDI, Bernardo",1301-1350,1340-45,Virgin and Child,"Tempera on panel, 84 x 55 cm",religious,https://www.wga.hu/html/d/daddi/virgin_c.html
7302,"DADDI, Bernardo",1301-1350,1345-48,Crucifixion,"Tempera on wood, 58 x 28 cm (with frame)",religious,https://www.wga.hu/html/d/daddi/crucifi.html
