ID,AUTHOR,TIMELINE,DATE,TITLE,TECHNIQUE,TYPE,URL
9146,"FABBRINI, Giuseppe Antonio",1751-1800,1777,View of the Segretaria del Granduca,Fresco,interior,https://www.wga.hu/html/f/fabbrini/poggio1.html
9147,"FABBRINI, Giuseppe Antonio",1751-1800,1777,Side wall picture: Classical Offering Rite,Fresco,mythological,https://www.wga.hu/html/f/fabbrini/poggio2.html
9148,"FABBRINI, Giuseppe Antonio",1751-1800,1777,"Side wall picture: Apollo, Pegasus, and the Muses",Fresco,mythological,https://www.wga.hu/html/f/fabbrini/poggio3.html
9149,"FABBRINI, Giuseppe Antonio",1751-1800,1777,Side wall picture: The Fine Arts and Mercury,Fresco,mythological,https://www.wga.hu/html/f/fabbrini/poggio4.html
9150,"FABER VON CREUZNACH, Conrad",1501-1550,1526-29,Heinrich von Rhein zum Mohren,"Oil on panel, 54 x 37 cm",portrait,https://www.wga.hu/html/f/faber/3mohren1.html
9151,"FABER VON CREUZNACH, Conrad",1501-1550,1530-50,Heinrich von Rhein zum Mohren,"Oil on oak panel, 54 x 38 cm",portrait,https://www.wga.hu/html/f/faber/3mohren2.html
9152,"FABER VON CREUZNACH, Conrad",1501-1550,1535,Gilbrecht and Anna von Holzhausen,Oil on panel,portrait,https://www.wga.hu/html/f/faber/1holzha1.html
9153,"FABER VON CREUZNACH, Conrad",1501-1550,1535,Gilbrecht von Holzhausen the Younger,"Oil on panel, 59 x 44 cm",portrait,https://www.wga.hu/html/f/faber/1holzha2.html
9154,"FABER VON CREUZNACH, Conrad",1501-1550,1535,"Portrait of Anna von Holzhausen, née Ratzeburg",Oil on panel,portrait,https://www.wga.hu/html/f/faber/1holzha3.html
9155,"FABER VON CREUZNACH, Conrad",1501-1550,1536,Portrait of Justinian von Holzhausen and his Wife,Oil on panel,portrait,https://www.wga.hu/html/f/faber/2holzhau.html
9156,"FABER VON CREUZNACH, Conrad",1501-1550,c. 1535,Portrait of a Man with a Moor's Head on His Signet Ring,"Oil, gold, and white metal on linden panel, 53 x 35 cm",portrait,https://www.wga.hu/html/f/faber/4signet.html
9157,"FABRE, François-Xavier",1751-1800,1793,Portrait of Vittorio Alfieri,"Oil on canvas, 93 x 73 cm",portrait,https://www.wga.hu/html/f/fabre/alfieri.html
9158,"FABRE, François-Xavier",1751-1800,1793,Portrait of the Countess d'Albany,"Oil on canvas, 93 x 73 cm",portrait,https://www.wga.hu/html/f/fabre/countess.html
9159,"FABRE, François-Xavier",1751-1800,1809,Portrait of a Man,"Oil on canvas, 62 x 50 cm",portrait,https://www.wga.hu/html/f/fabre/port_man.html
9160,"FABRIS, Pietro",1751-1800,-,View of Paestum,"Oil on canvas, 77 x 130 cm",landscape,https://www.wga.hu/html/f/fabris/paestum.html
9161,"FABRIS, Pietro",1751-1800,1773,"Posillipo, a View of the Coast towards Vesuvius","Oil on canvas, 47 x 71 cm",landscape,https://www.wga.hu/html/f/fabris/posilipp.html
9162,"FABRIS, Pietro",1751-1800,1773,"Pozzuoli, a View of the Bay","Oil on canvas, 47 x 71 cm",landscape,https://www.wga.hu/html/f/fabris/pozzuoli.html
9163,"FABRIS, Pietro",1751-1800,1777,"Naples, a View of Mergellina","Oil on canvas, 104 x 157 cm",landscape,https://www.wga.hu/html/f/fabris/naples.html
9164,"FABRITIUS, Barent",1651-1700,-,The Circumcision,"Oil on panel, 44 x 44 cm",religious,https://www.wga.hu/html/f/fabritiu/barent/circumci.html
9165,"FABRITIUS, Barent",1651-1700,1654-56,Self-Portrait as a Shepherd,"Oil on canvas, 79 x 64 cm",portrait,https://www.wga.hu/html/f/fabritiu/barent/selfport.html
9166,"FABRITIUS, Barent",1651-1700,1655-60,Young Painter in his Studio,"Oil on wood, 72 x 54 cm",genre,https://www.wga.hu/html/f/fabritiu/barent/studio.html
9167,"FABRITIUS, Barent",1651-1700,1656,Portrait of Willem van der Helm and His Family,"Oil on canvas, 148 x 128 cm",portrait,https://www.wga.hu/html/f/fabritiu/barent/family.html
9168,"FABRITIUS, Barent",1651-1700,1656,The Slaughtered Pig,"Oil on canvas, 80 x 65 cm",genre,https://www.wga.hu/html/f/fabritiu/barent/slaughte.html
9169,"FABRITIUS, Barent",1651-1700,1658,Abraham Dismissing Hagar and Ishmael,"Oil on wood, 50 x 36 cm",religious,https://www.wga.hu/html/f/fabritiu/barent/abraham.html
9170,"FABRITIUS, Barent",1651-1700,1660,Ruth and Boaz,"Oil on panel, 49 x 39 cm",mythological,https://www.wga.hu/html/f/fabritiu/barent/ruthboaz.html
9171,"FABRITIUS, Carel",1601-1650,-,Self-Portrait,"Oil on panel, 62 x 51 cm",portrait,https://www.wga.hu/html/f/fabritiu/carel/self_pz.html
9172,"FABRITIUS, Carel",1601-1650,1643-45,Hagar and the Angel,"Oil on canvas, 158 x 136 cm",religious,https://www.wga.hu/html/f/fabritiu/carel/hagar.html
9173,"FABRITIUS, Carel",1601-1650,1648-50,The Beheading of John the Baptist,"Oil on canvas, 149 x 121 cm",religious,https://www.wga.hu/html/f/fabritiu/carel/st_john.html
9174,"FABRITIUS, Carel",1601-1650,1652,View of the City of Delft,"Oil on canvas, 15,4 x 31,6 cm",landscape,https://www.wga.hu/html/f/fabritiu/carel/view_del.html
9175,"FABRITIUS, Carel",1601-1650,1654,The Goldfinch,"Oil on panel, 34 x 23 cm",genre,https://www.wga.hu/html/f/fabritiu/carel/goldfinc.html
9176,"FABRITIUS, Carel",1601-1650,1654,Self-Portrait,"Oil on canvas, 70,5 x 61,5 cm",portrait,https://www.wga.hu/html/f/fabritiu/carel/self_por.html
9177,"FABRITIUS, Carel",1601-1650,1654,The Sentry,"Oil on canvas, 68 x 58 cm",genre,https://www.wga.hu/html/f/fabritiu/carel/sentry.html
9178,"FABRITIUS, Carel",1601-1650,c. 1642,The Raising of Lazarus,"Oil on canvas, 211 x 140 cm",religious,https://www.wga.hu/html/f/fabritiu/carel/lazarus.html
