ID,AUTHOR,TIMELINE,DATE,TITLE,TECHNIQUE,TYPE,URL
13484,"HAAGEN, Joris Abrahamsz. van der",1601-1650,-,Forest Landscape,"Oil on canvas, 64 x 96 cm",landscape,https://www.wga.hu/html/h/haagen/landscap.html
13485,"HAAGEN, Joris Abrahamsz. van der",1601-1650,1650s,Geese and Ducks at a Forest Lake,"Oil on panel, 73 x 58 cm",genre,https://www.wga.hu/html/h/haagen/geesduck.html
13486,"HABERLE, John",1851-1900,c. 1895,The Slate,"Oil on canvas, 31 x 24 cm",other,https://www.wga.hu/html/h/haberle/slate.html
13487,"HABERT, François",1651-1700,c. 1650,Still-Life with Fruit,"Oil on canvas, 92 x 115 cm",still-life,https://www.wga.hu/html/h/habert/stillife.html
13488,"HACKAERT, Jan",1651-1700,-,Wooded Landscape,"Oil on canvas, 80 x 96 cm",landscape,https://www.wga.hu/html/h/hackaert/woodedla.html
13489,"HACKAERT, Jan",1651-1700,c. 1660,River Scene,"Oil on oak, 42,7 x 54,3 cm",landscape,https://www.wga.hu/html/h/hackaert/riversce.html
13490,"HACKERT, Jacob Philipp",1751-1800,1771,The Destruction of the Turkish Fleet in Chesme Bay,"Oil on canvas, 163 x 220 cm",historical,https://www.wga.hu/html/h/hackert/philipp/destruct.html
13491,"HACKERT, Jacob Philipp",1751-1800,1778,Italianate Landscape,"Oil on canvas, 65 x 89 cm",landscape,https://www.wga.hu/html/h/hackert/philipp/italland.html
13492,"HACKERT, Jacob Philipp",1751-1800,1778,Landscape with River,"Oil on canvas, 64,5 x 88,5 cm",landscape,https://www.wga.hu/html/h/hackert/philipp/land_riv.html
13493,"HACKERT, Jacob Philipp",1751-1800,1779,The Waterfalls at Terni,"Oil on canvas, 98 x 80 cm",landscape,https://www.wga.hu/html/h/hackert/philipp/w_terni.html
13494,"HACKERT, Jacob Philipp",1751-1800,1783,Great Cascades at Tivoli,"Oil on canvas, 120 x 170 cm",landscape,https://www.wga.hu/html/h/hackert/philipp/greatcas.html
13495,"HACKERT, Jacob Philipp",1751-1800,1784,View of Caserta,"Oil on canvas, 152 x 197 cm",landscape,https://www.wga.hu/html/h/hackert/philipp/caserta1.html
13496,"HACKERT, Jacob Philipp",1751-1800,1788,Portrait of a King Charles Spaniel in a Landscape,"Oil on canvas, 45 x 59 cm",portrait,https://www.wga.hu/html/h/hackert/philipp/spaniel.html
13497,"HACKERT, Jacob Philipp",1751-1800,1793,Landscape with the Palace of Caserta and Vesuvius,"Oil on canvas, 93 x 130 cm",landscape,https://www.wga.hu/html/h/hackert/philipp/caserta.html
13498,"HACKERT, Jacob Philipp",1751-1800,1793,Landscape with Figures,"Oil on canvas, 65 x 97 cm",landscape,https://www.wga.hu/html/h/hackert/philipp/land_fig.html
13499,"HACKERT, Jacob Philipp",1751-1800,1793,View of the Waterfall at Anitrella,"Oil on canvas, 98 x 81 cm",landscape,https://www.wga.hu/html/h/hackert/philipp/w_anitre.html
13500,"HACKERT, Jacob Philipp",1751-1800,1795,Italian Landscape,"Oil on canvas, 65 x 96 cm",landscape,https://www.wga.hu/html/h/hackert/philipp/italian.html
13501,"HACKERT, Jacob Philipp",1751-1800,1799,The Volturno with the Ponte Margherita,"Oil on canvas, 65 x 89 cm",landscape,https://www.wga.hu/html/h/hackert/philipp/volturno.html
13502,"HACKERT, Jacob Philipp",1751-1800,1803,View of Lake Nemi,"Oil on canvas, 65 x 88 cm",landscape,https://www.wga.hu/html/h/hackert/philipp/lakenami.html
13503,"HACKERT, Jacob Philipp",1751-1800,c. 1773,View of the Copper-Mill in Vietri,"Oil on canvas, 64 x 87 cm",landscape,https://www.wga.hu/html/h/hackert/philipp/v_vietri.html
13504,"HACKERT, Jacob Philipp",1751-1800,c. 1784,Autumn,"Oil on canvas, 96,5 x 64 cm",landscape,https://www.wga.hu/html/h/hackert/philipp/autumn.html
13505,"HAECHT, Willem van",1601-1650,1628,The Gallery of Cornelis van der Geest,"Oil on panel, 100 x 130 cm",interior,https://www.wga.hu/html/h/haecht/gallery.html
13506,"HAECHT, Willem van",1601-1650,c. 1630,Apelles Painting Campaspe,"Oil on panel, 105 x 149 cm",interior,https://www.wga.hu/html/h/haecht/campaspe.html
13507,"HAEN, David de",1601-1650,-,Satyr Drinking from Grapes,"Oil on canvas, 114 x 74 cm",mythological,https://www.wga.hu/html/h/haen/satyr.html
13508,"HAEN, David de",1601-1650,1617-19,Self-Portrait,"Oil on canvas, 66 x 51 cm",portrait,https://www.wga.hu/html/h/haen/selfport.html
13509,"HAENSBERGEN, Johan van",1651-1700,-,A Bacchanal in an Extensive Landscape,"Oil on canvas, 43 x 50 cm",mythological,https://www.wga.hu/html/h/haensber/bacchana.html
13510,"HAENSBERGEN, Johan van",1651-1700,c. 1670,"Italian Landscape with ruins, shepherd and nymphs","Oil on panel, 21 x 26 cm",landscape,https://www.wga.hu/html/h/haensber/italland.html
13511,"HAES, Carlos de",1851-1900,-,Stream at Pont-Aven,"Oil on canvas, 31 x 39 cm",landscape,https://www.wga.hu/html/h/haes/pontaven.html
13512,"HAFFNER, Enrico Giovanni",1601-1650,1674-75,Nave vault decoration,Fresco,religious,https://www.wga.hu/html/h/haffner/vault.html
13513,"HAGEN, August Mathias",1801-1850,1835,Sea Bay,"Oil on canvas, 36 x 59 cm",landscape,https://www.wga.hu/html/h/hagen/sea_bay.html
13514,"HAGUENAUER, Nikolaus",1501-1550,c. 1515,Isenheim Altarpiece (third view),Oil on wood,religious,https://www.wga.hu/html/h/haguenau/isenheim.html
13515,"HAINZ, Georg",1651-1700,1666,Cabinets of Curiosities,"Oil on canvas, 115 x 93 cm",still-life,https://www.wga.hu/html/h/hainz/cabinet.html
13516,"HALE, Philip Leslie",1851-1900,1908,The Crimson Rambler,"Oil on canvas, 64 x 77 cm",landscape,https://www.wga.hu/html/h/hale/rambler.html
13517,"HALL, Peter Adolf",1751-1800,1776,The Painter's Family,"Ivory, 9 x 11 cm",portrait,https://www.wga.hu/html/h/hall/family.html
13518,"HALL, Peter Adolf",1751-1800,c. 1785,"The Painter's Daughter, Adelaide Victorine","Ivory, 9 x 11 cm",portrait,https://www.wga.hu/html/h/hall/daughter.html
13519,"HALLÉ, Noël",1751-1800,1755-60,Rest on the Flight into Egypt,"Oil on canvas, 52 x 40 cm",religious,https://www.wga.hu/html/h/halle/rest_fli.html
13520,"HALLÉ, Noël",1751-1800,1761,The Child of a Savoyard Being Entertained by a Pinwheel,"Oil on panel, 20 x 25 cm",mythological,https://www.wga.hu/html/h/halle/childsav.html
13521,"HALLÉ, Noël",1751-1800,1762-65,The Race between Hippomenes and Atalanta,"Oil on canvas, 321 x 712 cm",mythological,https://www.wga.hu/html/h/halle/atalanta.html
13522,"HALS, Dirck",1601-1650,-,Interior with Figures,"Oil on panel, 36 x 48 cm",interior,https://www.wga.hu/html/h/hals/dirk/figures.html
13523,"HALS, Dirck",1601-1650,-,Interior Scene,"Oil on panel, 58 x 83 cm",interior,https://www.wga.hu/html/h/hals/dirk/interior.html
13524,"HALS, Dirck",1601-1650,-,Interior Scene (detail),Oil on panel,interior,https://www.wga.hu/html/h/hals/dirk/interiox.html
13525,"HALS, Dirck",1601-1650,-,Merry Company,"Oil on panel, 45 x 67,5 cm",genre,https://www.wga.hu/html/h/hals/dirk/merr_com.html
13526,"HALS, Dirck",1601-1650,1621,Merry Company in a Garden,"Oil on oak panel, 34 x 61 cm",genre,https://www.wga.hu/html/h/hals/dirk/party.html
13527,"HALS, Dirck",1601-1650,1621,Amusing Party in the Open Air (detail),Oil on canvas,genre,https://www.wga.hu/html/h/hals/dirk/party_d.html
13528,"HALS, Dirck",1601-1650,1623,A Merry Company Making Music,"Oil on oak panel, 23 x 31 cm",genre,https://www.wga.hu/html/h/hals/dirk/merrycom.html
13529,"HALS, Dirck",1601-1650,1623,Musicians,"Oil on wood, 43 x 47 cm",genre,https://www.wga.hu/html/h/hals/dirk/musician.html
13530,"HALS, Dirck",1601-1650,1627,A Garden Party,"Oil on panel, 78 x 137 cm",genre,https://www.wga.hu/html/h/hals/dirk/fetecham.html
13531,"HALS, Dirck",1601-1650,1627-29,Merry Company at Table,"Oil on oak, 28 x 44 cm",genre,https://www.wga.hu/html/h/hals/dirk/merry_co.html
13532,"HALS, Dirck",1601-1650,1628,Banquet Scene in a Renaissance Hall,Oil on wood,genre,https://www.wga.hu/html/h/hals/dirk/banquet.html
13533,"HALS, Dirck",1601-1650,1628,A Banquet,"Oil on wood, 41 x 66",genre,https://www.wga.hu/html/h/hals/dirk/banquet1.html
13534,"HALS, Dirck",1601-1650,1628,Merry Party in a Tavern,"Oil on wood, 28 x 36 cm",genre,https://www.wga.hu/html/h/hals/dirk/merrypar.html
13535,"HALS, Dirck",1601-1650,1631,Woman Tearing a Letter,"Oil on panel, 45 x 55 cm",genre,https://www.wga.hu/html/h/hals/dirk/tearing.html
13536,"HALS, Dirck",1601-1650,1634,Interior Scene,"Oil on panel, 38 x 51 cm (oval)",interior,https://www.wga.hu/html/h/hals/dirk/i_scene.html
13537,"HALS, Dirck",1601-1650,1634,Interior Scene (detail),Oil on panel,interior,https://www.wga.hu/html/h/hals/dirk/i_scene1.html
13538,"HALS, Dirck",1601-1650,1634,Interior Scene (detail),Oil on panel,interior,https://www.wga.hu/html/h/hals/dirk/i_scene2.html
13539,"HALS, Dirck",1601-1650,1637,An Elegant Company Playing Music,"Oil on panel, 56 x 70 cm",genre,https://www.wga.hu/html/h/hals/dirk/company.html
13540,"HALS, Dirck",1601-1650,1639,Elegant Company in an Interior,"Oil on panel, 40 x 55 cm",interior,https://www.wga.hu/html/h/hals/dirk/elegant.html
