ID,AUTHOR,TIMELINE,DATE,TITLE,TECHNIQUE,TYPE,URL
15248,"L'ESTIN, Jacques de",1601-1650,-,Self-portrait,"Oil on canvas, 63 x 52 cm",portrait,https://www.wga.hu/html/l/l_estin/selfport.html
15249,"LA FOSSE, Charles de",1651-1700,1673,Rape of Proserpine,Oil on canvas,mythological,https://www.wga.hu/html/l/la_fosse/proserpi.html
15250,"LA FOSSE, Charles de",1651-1700,1675-80,The Finding of Moses,"Oil on canvas, 125 x 110 cm",religious,https://www.wga.hu/html/l/la_fosse/moses.html
15251,"LA FOSSE, Charles de",1651-1700,1677-79,Apollo in his Chariot,Oil on canvas,mythological,https://www.wga.hu/html/l/la_fosse/versail2.html
15252,"LA FOSSE, Charles de",1651-1700,1677-79,Apollo in his Chariot,Oil on canvas,mythological,https://www.wga.hu/html/l/la_fosse/versail3.html
15253,"LA FOSSE, Charles de",1651-1700,1680-85,Christ Appearing to Mary Magdalene,"Oil on canvas, 81 x 65 cm",religious,https://www.wga.hu/html/l/la_fosse/christ_a.html
15254,"LA FOSSE, Charles de",1651-1700,1682,Presentation of the Virgin,"Oil on canvas, 307 x 401 cm",religious,https://www.wga.hu/html/l/la_fosse/presenta.html
15255,"LA FOSSE, Charles de",1651-1700,1688,Clytie Transformed into a Sunflower,"Oil on canvas, 131 x 159 cm",mythological,https://www.wga.hu/html/l/la_fosse/clytie.html
15256,"LA FOSSE, Charles de",1651-1700,1692,St Louis Presenting to Christ the Sword,Fresco,religious,https://www.wga.hu/html/l/la_fosse/invalid1.html
15257,"LA FOSSE, Charles de",1651-1700,1692,St Louis Presenting to Christ the Sword,Fresco,religious,https://www.wga.hu/html/l/la_fosse/invalid2.html
15258,"LA FOSSE, Charles de",1651-1700,1692,St Louis Presenting to Christ the Sword,Fresco,religious,https://www.wga.hu/html/l/la_fosse/invalid3.html
15259,"LA FOSSE, Charles de",1651-1700,1692,St Louis Presenting to Christ the Sword,Fresco,religious,https://www.wga.hu/html/l/la_fosse/invalid4.html
15260,"LA FOSSE, Charles de",1651-1700,1710,The Resurrection of Christ,Oil on canvas,religious,https://www.wga.hu/html/l/la_fosse/versail4.html
