ID,AUTHOR,TIMELINE,DATE,TITLE,TECHNIQUE,TYPE,URL
16987,"MAAS, Dirk",1651-1700,1680s,Cavalry Encounter,"Oil on canvas, 86 x 108 cm",historical,https://www.wga.hu/html/m/maas/cavalry.html
16988,"MACCARI, Cesare",1851-1900,1886,Decoration of the Sala del Risorgimento,Fresco and marble,historical,https://www.wga.hu/html/m/maccari/decorati.html
16989,"MACCARI, Cesare",1851-1900,1886,Presentation to Vittorio Emanuele of the Roman Plebiscite,Fresco,historical,https://www.wga.hu/html/m/maccari/presenta.html
16990,"MACCHIETTI, Girolamo",1551-1600,1570-72,Baths at Pozzuoli,"Oil on slate, 117 x 100 cm",historical,https://www.wga.hu/html/m/macchiet/studiolo.html
16991,"MACCHIETTI, Girolamo",1551-1600,1579-83,Portrait of Bianca Cappello,"Oil on panel, 99 x 73 cm",portrait,https://www.wga.hu/html/m/macchiet/portrait.html
16992,"MACHUCA, Pedro",1501-1550,-,Virgin and Child,Oil on panel,religious,https://www.wga.hu/html/m/machuca/1painter/virgin_c.html
16993,"MACHUCA, Pedro",1501-1550,1517,The Virgin and Souls in Purgatory,"Oil on panel, 167 x 135 cm",religious,https://www.wga.hu/html/m/machuca/1painter/virgin_s.html
16994,"MACHUCA, Pedro",1501-1550,1520-23,Deposition,"Oil on panel, 141 x 128 cm",religious,https://www.wga.hu/html/m/machuca/1painter/descent1.html
16995,"MACHUCA, Pedro",1501-1550,1547,Descent from the Cross (with original frame),"Panel, 141 x 128 cm (incl. frame)",religious,https://www.wga.hu/html/m/machuca/1painter/descent2.html
16996,"MACHY, Pierre-Antoine de",1751-1800,-,Fantastical Architectural Study with Figures,"Oil on canvas, 55 x 73 cm",other,https://www.wga.hu/html/m/machy/fantasti.html
16997,"MACHY, Pierre-Antoine de",1751-1800,1765,Official Laying of the Cornerstone of the New Church of Sainte-Geneviève,"Oil on canvas, 81 x 129 cm",historical,https://www.wga.hu/html/m/machy/stgenevi.html
16998,"MACHY, Pierre-Antoine de",1751-1800,c. 1760,Clearing the Area in front of the Louvre Colonnade,"Oil on canvas, 60 x 92 cm",historical,https://www.wga.hu/html/m/machy/louvre1.html
16999,"MACHY, Pierre-Antoine de",1751-1800,c. 1760,Clearing the Area in front of the Louvre Colonnade,"Oil on canvas, 41 x 52 cm",historical,https://www.wga.hu/html/m/machy/louvre2.html
17000,"MACHY, Pierre-Antoine de",1751-1800,c. 1787,"Demolition of L'Église des Saints Innocents, Paris","Oil on panel, 49 x 63 cm",interior,https://www.wga.hu/html/m/machy/demoliti.html
17001,"MACLISE, Daniel",1801-1850,1843,A Scene from 'Undine',"Oil on canvas, 45 x 61 cm",other,https://www.wga.hu/html/m/maclise/undine.html
17002,"MACLISE, Daniel",1801-1850,1843,A Scene from 'Undine' (detail),Oil on canvas,other,https://www.wga.hu/html/m/maclise/undine1.html
17003,MACRINO D'ALBA,1451-1500,-,Virgin Adoring the Child with Saints,Oil on panel,religious,https://www.wga.hu/html/m/macrino/virgina.html
17004,MACRINO D'ALBA,1451-1500,-,Virgin Adoring the Child with Saints (detail),Oil on panel,religious,https://www.wga.hu/html/m/macrino/virgina1.html
17005,MACRINO D'ALBA,1451-1500,-,Virgin and Child Enthroned with Saints and Angels,Oil on panel,religious,https://www.wga.hu/html/m/macrino/virginc.html
17006,MACRINO D'ALBA,1451-1500,-,Virgin and Child Enthroned with Saints and Angels (detail),Oil on panel,religious,https://www.wga.hu/html/m/macrino/virginc1.html
17007,MACRINO D'ALBA,1451-1500,1492-93,Holy Conversation,"Tempera and oil on wood, 148 x 138 mm",religious,https://www.wga.hu/html/m/macrino/holyconv.html
17008,MACRINO D'ALBA,1451-1500,c. 1510,Self-Portrait,"Tempera on panel, 34 x 29 cm",portrait,https://www.wga.hu/html/m/macrino/selfport.html
17009,"MACTAGGART, William",1851-1900,1890,The Storm,"Oil on canvas, 122 x 183 cm",landscape,https://www.wga.hu/html/m/mactagga/storm.html
17010,"MADARÁSZ, Viktor",1851-1900,1858,Felicián Zách,"Oil on canvas, 152 x 112 cm",historical,https://www.wga.hu/html/m/madarasz/1felicia.html
17011,"MADARÁSZ, Viktor",1851-1900,1859,László Hunyadi on the Bier,"Oil on canvas, 249 x 313 cm",historical,https://www.wga.hu/html/m/madarasz/2hunyadi.html
17012,"MADARÁSZ, Viktor",1851-1900,1863,Self-Portrait,"Oil on canvas, 73 x 60 cm",portrait,https://www.wga.hu/html/m/madarasz/3selfpor.html
17013,"MADARÁSZ, Viktor",1851-1900,1864,Peter Zrinyi and Ferenc Frangepán in the Wiener-Neustadt Prison,"Oil on canvas, 176 x 236 cm",historical,https://www.wga.hu/html/m/madarasz/4zrinyi.html
17014,"MADARÁSZ, Viktor",1851-1900,1868,Dobozi and his Spouse,"Oil on canvas, 116 x 310 cm",historical,https://www.wga.hu/html/m/madarasz/5dobozi.html
17015,"MADOU, Jean-Baptiste",1801-1850,1845,Study,"Oil on canvas, 70 x 97 cm",study,https://www.wga.hu/html/m/madou/study.html
17016,"MAELLA, Mariano Salvador de",1751-1800,-,Seascape,"Oil on canvas, 56 x 74 cm",landscape,https://www.wga.hu/html/m/maella/seascape.html
17017,"MAELLA, Mariano Salvador de",1751-1800,1781,Immaculate Conception,"OIl on canvas, 142 x 74 cm",religious,https://www.wga.hu/html/m/maella/immacula.html
17018,"MAES, Nicolaes",1651-1700,-,Portrait of a Young Nobleman,"Oil on canvas, 67 x 55 cm",portrait,https://www.wga.hu/html/m/maes/port_nob.html
17019,"MAES, Nicolaes",1651-1700,-,Portrait of a Woman,"Oil on canvas, 89,6 x 71,2 cm",portrait,https://www.wga.hu/html/m/maes/port_wom.html
17020,"MAES, Nicolaes",1651-1700,1649-50,Christ before Pilate,"Oil on canvas, 216 x 174 cm",religious,https://www.wga.hu/html/m/maes/c_pilate.html
17021,"MAES, Nicolaes",1651-1700,1652-53,Christ Blessing the Children,"Oil on canvas, 206 x 154 cm",religious,https://www.wga.hu/html/m/maes/christ_b.html
17022,"MAES, Nicolaes",1651-1700,1653,Abraham Dismissing Hagar and Ishmael,"Oil on canvas, 88 x 70 cm",religious,https://www.wga.hu/html/m/maes/abraham.html
17023,"MAES, Nicolaes",1651-1700,1655,Eavesdropper with a Scolding Woman,"Oil on panel, 46,3 x 72,2 cm",genre,https://www.wga.hu/html/m/maes/eavesdro.html
17024,"MAES, Nicolaes",1651-1700,1655,The Idle Servant,"Oil on panel, 70 x 53 cm",genre,https://www.wga.hu/html/m/maes/idle_ser.html
