ID,AUTHOR,TIMELINE,DATE,TITLE,TECHNIQUE,TYPE,URL
20502,"O'CONNOR, James Arthur",1801-1850,c. 1832,Mountainous Continental Landscape,"Oil on canvas, 33 x 48 cm",landscape,https://www.wga.hu/html/o/oconnor/landscap.html
20503,"OCHTERVELT, Jacob",1651-1700,-,The Drawing Lesson,"Oil on canvas, 73 x 59 cm",genre,https://www.wga.hu/html/o/ochterve/drawingl.html
20504,"OCHTERVELT, Jacob",1651-1700,-,Rehearsing the Song,Oil on canvas,genre,https://www.wga.hu/html/o/ochterve/song_reh.html
20505,"OCHTERVELT, Jacob",1651-1700,1660-65,Itinerant Musicians,"Oil on oak, 56 x 47 cm",genre,https://www.wga.hu/html/o/ochterve/itineran.html
20506,"OCHTERVELT, Jacob",1651-1700,1660s,Portrait of a Gentleman,"Oil on panel, 26 x 21 cm",portrait,https://www.wga.hu/html/o/ochterve/portgent.html
20507,"OCHTERVELT, Jacob",1651-1700,1663,A Child and Nurse in the Foyer of a Townhouse,"Oil on canvas, 82 x 67 cm",genre,https://www.wga.hu/html/o/ochterve/childnur.html
20508,"OCHTERVELT, Jacob",1651-1700,1665,Street Musicians at the Doorway of a House,Oil on canvas,genre,https://www.wga.hu/html/o/ochterve/s_musici.html
20509,"OCHTERVELT, Jacob",1651-1700,1669,Buying Grapes,"Oil on canvas, 81 x 67 cm",genre,https://www.wga.hu/html/o/ochterve/grapes.html
20510,"OCHTERVELT, Jacob",1651-1700,1670,A Family Group,"Oil on canvas, 97 x 91 cm",portrait,https://www.wga.hu/html/o/ochterve/d_family.html
20511,"OCHTERVELT, Jacob",1651-1700,1670-72,The Love Letter,"Oil on canvas, 91 x 64 cm",genre,https://www.wga.hu/html/o/ochterve/lovelett.html
20512,"OCHTERVELT, Jacob",1651-1700,c. 1670,Musical Company in an Interior,"Oil on canvas, 59 x 49 cm",interior,https://www.wga.hu/html/o/ochterve/mcompany.html
20513,"ODEKERKEN, Willem van",1601-1650,1638,The Housewife,"Oil on panel, 104 x 76 cm",genre,https://www.wga.hu/html/o/odekerke/houswife.html
20514,"ODEKERKEN, Willem van",1601-1650,1642,Still-Life with a Lute,"Oil on panel, 79 x 62 cm",still-life,https://www.wga.hu/html/o/odekerke/stillute.html
20515,"ODERISI, Roberto d'",1351-1400,1340-45,Madonna of Humility,Tempera on wood,religious,https://www.wga.hu/html/o/oderisid/humility.html
20516,"ODERISI, Roberto d'",1351-1400,1370s,Pietà,"Tempera on panel, gold ground, shaped top, 88 x 49 cm",religious,https://www.wga.hu/html/o/oderisid/pieta.html
20517,"ODEVAERE, Joseph-Denis",1801-1850,1805,"Portrait of François Wynckelman, François van der Donckt and Joseph Odevaere","Oil on canvas, 256 x 132 cm",portrait,https://www.wga.hu/html/o/odevaere/chairman.html
20518,"ODEVAERE, Joseph-Denis",1801-1850,1805,Portrait of a Lady,"Oil on canvas, 207 x 164 cm",portrait,https://www.wga.hu/html/o/odevaere/portlady.html
20519,"ODEVAERE, Joseph-Denis",1801-1850,1814,Portrait of a Prominent Gentleman with his Daughter and Hunting Dog,"Oil on canvas, 177 x 130,5 cm",portrait,https://www.wga.hu/html/o/odevaere/gentlema.html
20520,"ODEVAERE, Joseph-Denis",1801-1850,c. 1805,Narcissus,"Oil on canvas, 172 x 110 cm",mythological,https://www.wga.hu/html/o/odevaere/narcissu.html
20521,"ODEVAERE, Joseph-Denis",1801-1850,c. 1826,Lord Byron on his Death-bed,"Oil on canvas, 166 x 234,5 cm",historical,https://www.wga.hu/html/o/odevaere/l_byron.html
20522,"OEHME, Ernst Ferdinand",1801-1850,1821,Cathedral in Winter,"Oil on canvas, 127 x 100 cm",landscape,https://www.wga.hu/html/o/oehme/winter.html
20523,"OEVER, Hendrick ten",1651-1700,-,Canal Landscape with Figures Bathing,"Oil on canvas, 67 x 87 cm",landscape,https://www.wga.hu/html/o/oever/canaland.html
20524,"OEVER, Hendrick ten",1651-1700,c. 1660,Landscape with Urn,"Oil on canvas, 52 x 45 cm",landscape,https://www.wga.hu/html/o/oever/land_urn.html
20525,"OGGIONO, Marco d'",1451-1500,1491-94,Resurrection of Christ with Sts Leonardo and Lucy,Oil on panel,religious,https://www.wga.hu/html/o/oggiono/resurrec.html
20526,"OGGIONO, Marco d'",1501-1550,-,The Three Archangels,"Oil on panel, 255 x 190 cm",religious,https://www.wga.hu/html/o/oggiono/archange.html
20527,"OGGIONO, Marco d'",1501-1550,-,The Holy Family,"Oil on panel, 47 x cm",religious,https://www.wga.hu/html/o/oggiono/holyfami.html
20528,"OGGIONO, Marco d'",1501-1550,c. 1515,Virgin and Child before a Landscape,"Oil on walnut panel, 78 x 60 cm",religious,https://www.wga.hu/html/o/oggiono/virginch.html
20529,"OGGIONO, Marco d'",1501-1550,c. 1524,Virgin and Child Enthroned with Saints,"Oil on canvas, transferred from wood, 176 x 148 cm",religious,https://www.wga.hu/html/o/oggiono/virgin_c.html
20530,"OLIS, Jan",1601-1650,-,Elegantly Dressed Women Smoking and Drinking,"Oil on panel, 42 x 53 cm",genre,https://www.wga.hu/html/o/olis/women.html
20531,"OLIS, Jan",1601-1650,1637,Elegant Company Playing Cards,"Oil on panel, 40 x 63 cm",genre,https://www.wga.hu/html/o/olis/company.html
20532,"OLIVER, Isaac",1551-1600,c. 1595,"Frances Howard, Countess of Somerset and Essex","Watercolour on parchment, diameter 13 cm",portrait,https://www.wga.hu/html/o/oliver/isaac/f_howard.html
20533,"OLIVER, Isaac",1551-1600,c. 1610,A Lady in Masque Costume,"Watercolour on vellum, 59 x 48 mm",portrait,https://www.wga.hu/html/o/oliver/isaac/masque.html
20534,"OLIVIER, Ferdinand",1801-1850,1831,Elijah in the Wilderness,"Oil on canvas, 75 x 57 cm",landscape,https://www.wga.hu/html/o/olivier/elijah.html
20535,"OLLIVIER, Michel-Barthélémy",1751-1800,1766,Afternoon Tea at the Temple,"Oil on canvas, 53 x 68 cm",genre,https://www.wga.hu/html/o/ollivier/aftertea.html
20536,"OMMEGANCK, Balthazar Paul",1751-1800,c. 1800,Landscape with a Flock of Sheep,"Oil on panel, 68 x 83 cm",landscape,https://www.wga.hu/html/o/ommeganc/landscap.html
20537,"OOST, Jacob van, the Elder",1601-1650,-,Female Martyr,"Oil on canvas, 74,3 x 56,8 cm",religious,https://www.wga.hu/html/o/oost/elder/f_martyr.html
20538,"OOST, Jacob van, the Elder",1601-1650,-,Portrait of Fovin de Hasque,"Oil on canvas, 106 x 83 cm",portrait,https://www.wga.hu/html/o/oost/elder/port_fov.html
20539,"OOST, Jacob van, the Elder",1601-1650,-,Portrait of Salomon van Meldeghem,"Oil on canvas, 83 x 68 cm",portrait,https://www.wga.hu/html/o/oost/elder/port_mel.html
20540,"OOST, Jacob van, the Elder",1601-1650,-,St Martin,"Oil on canvas, 301 x 181 cm",religious,https://www.wga.hu/html/o/oost/elder/stmartin.html
20541,"OOST, Jacob van, the Elder",1601-1650,1630,Adoration of the Shepherds,"Oil on panel, 147 x 114 cm",religious,https://www.wga.hu/html/o/oost/elder/adorati1.html
20542,"OOST, Jacob van, the Elder",1601-1650,1634,Card-Sharpers,"Oil on canvas, 58 x 97 cm",genre,https://www.wga.hu/html/o/oost/elder/cardshar.html
20543,"OOST, Jacob van, the Elder",1601-1650,1642,Adoration of the Shepherds,"Oil on canvas, 202 x 182 cm",religious,https://www.wga.hu/html/o/oost/elder/adorati2.html
20544,"OOST, Jacob van, the Elder",1601-1650,1643,David Bearing the Head of Goliath,"Oil on canvas, 102 x 81 cm",religious,https://www.wga.hu/html/o/oost/elder/david.html
20545,"OOST, Jacob van, the Elder",1601-1650,1645,Portrait of a Bruges Family,"Oil on canvas, 150, 5 x 255,5 cm",portrait,https://www.wga.hu/html/o/oost/elder/family.html
20546,"OOST, Jacob van, the Elder",1601-1650,1661,Christ Crowned with Thorns,"Oil on canvas, 98 x 122 cm",religious,https://www.wga.hu/html/o/oost/elder/thorns.html
