ID,AUTHOR,TIMELINE,DATE,TITLE,TECHNIQUE,TYPE,URL
22734,"QUADAL, Martin Ferdinand",1751-1800,1784,Portrait of Count Anton Lamberg-Sprinzenstein,"Oil on canvas, 101 x 77 cm",portrait,https://www.wga.hu/html/q/quadal/lamberg.html
22735,"QUADAL, Martin Ferdinand",1751-1800,1787,Life Class in the Vienna Academy,"Oil on canvas, 144 x 207 cm",genre,https://www.wga.hu/html/q/quadal/class.html
22736,"QUADAL, Martin Ferdinand",1751-1800,1787,Life Class in the Vienna Academy (detail),Oil on canvas,genre,https://www.wga.hu/html/q/quadal/class1.html
22737,"QUAGLIO, Domenico",1801-1850,1826,Residenzstrasse Looking Towards Max-Joseph-Platz in 1826,"Oil on canvas, 64 x 84 cm",landscape,https://www.wga.hu/html/q/quaglio/residenz.html
22738,"QUAGLIO, Domenico",1801-1850,1827,"The Cathedral of Notre-Dame, Reims with a Procession of Communicants","Oil on canvas, 54 x 70 cm",landscape,https://www.wga.hu/html/q/quaglio/cathedra.html
22739,"QUAST, Pieter Jansz.",1601-1650,-,Elegant Company Making Music,"Oil on panel, 42 x 59 cm",genre,https://www.wga.hu/html/q/quast/musicmak.html
22740,"QUAST, Pieter Jansz.",1601-1650,1643,Soldiers Gambling with Dice,"Oil on panel, 36 x 47 cm",genre,https://www.wga.hu/html/q/quast/gambling.html
22741,"QUAST, Pieter Jansz.",1601-1650,c. 1638,Party of Merrymakers,"Oil on panel, 38 x 50 cm",genre,https://www.wga.hu/html/q/quast/merrymak.html
22742,"QUELLINUS, Artus I",1601-1650,1651-54,Reliefs in the Tribunal,Marble,historical,https://www.wga.hu/html/q/quellin/artus/tribune1.html
22743,"QUELLINUS, Artus I",1601-1650,1651-54,The Judgment of Brutus: Justice,"Terracotta, 73 x 83 cm",historical,https://www.wga.hu/html/q/quellin/artus/tribune2.html
22744,"QUELLINUS, Artus I",1601-1650,1651-54,The Judgment of Brutus: Justice (detail),Terracotta,historical,https://www.wga.hu/html/q/quellin/artus/tribune3.html
22745,"QUELLINUS, Artus I",1601-1650,1661,Andries de Graeff,"Marble, height 75 cm",portrait,https://www.wga.hu/html/q/quellin/artus/graeff.html
22746,"QUELLINUS, Artus I",1601-1650,1665,Portrait of Johan de Witt,"Marble, height 95 cm",portrait,https://www.wga.hu/html/q/quellin/artus/de_wit.html
22747,"QUELLINUS, Erasmus II",1601-1650,-,Achilles with the Daughters of Lycomedes,"Oil on canvas, 114 x 164 cm",mythological,https://www.wga.hu/html/q/quellin/erasmus/achille.html
22748,"QUELLINUS, Erasmus II",1601-1650,-,Portrait of a Young Boy,"Oil on canvas, 136 x 103 cm",portrait,https://www.wga.hu/html/q/quellin/erasmus/youngboy.html
22749,"QUELLINUS, Erasmus II",1601-1650,1636-38,Cupid on a Dolphin,"Oil on canvas, 98 x 98 cm",mythological,https://www.wga.hu/html/q/quellin/erasmus/parada.html
22750,"QUELLINUS, Erasmus II",1601-1650,1650s,Birth of the Virgin,"Oil on canvas, 200 x 170 cm",religious,https://www.wga.hu/html/q/quellin/erasmus/birthvir.html
22751,"QUELLINUS, Erasmus II",1601-1650,1652,Adoration of the Shepherds,"Oil on canvas, 60 x 82 cm",religious,https://www.wga.hu/html/q/quellin/erasmus/adorati.html
22752,"QUELLINUS, Erasmus II",1601-1650,1652,Artemisia,"Oil on canvas, 124 x 140 cm",mythological,https://www.wga.hu/html/q/quellin/erasmus/artemisi.html
22753,"QUELLINUS, Erasmus II",1601-1650,1669,Adoration of the Shepherds,Oil on canvas,religious,https://www.wga.hu/html/q/quellin/erasmus/adoratio.html
22754,"QUELLINUS, Erasmus II",1601-1650,c. 1635,Saul and David (detail),"Oil on panel, 58 x 79,5 cm (entire painting)",religious,https://www.wga.hu/html/q/quellin/erasmus/sauldavi.html
22755,"QUELLINUS, Erasmus II",1601-1650,c. 1643,Achilles among the Daughters of Lycomedes,"Oil on canvas, 220 x 240 cm",mythological,https://www.wga.hu/html/q/quellin/erasmus/achilles.html
22756,"QUELLINUS, Erasmus II",1601-1650,c. 1645,Still-Life in an Architectural Setting,"Oil on canvas, 112 x 83 cm",still-life,https://www.wga.hu/html/q/quellin/erasmus/stillife.html
22757,"QUELLINUS, Jan-Erasmus",1651-1700,1651,Mary Visiting Elizabeth,"Oil on canvas, 184 x 232 cm",religious,https://www.wga.hu/html/q/quellin/jan/visitati.html
22758,"QUELLINUS, Jan-Erasmus",1651-1700,1668,Thetis Dips Achilles in a Vase with Water from the Styx,"Oil on canvas,",mythological,https://www.wga.hu/html/q/quellin/jan/thetis.html
22759,"QUELLINUS, Jan-Erasmus",1651-1700,1702,Saint Francis Xavier in Dispute with the Emperor of Japan,"Oil on canvas, 300 x 430 cm",religious,https://www.wga.hu/html/q/quellin/jan/dispute.html
22760,"QUERCIA, Priamo della",1401-1450,1442,Agostino Novello Installing the First Rector,"Fresco, height c. 450 cm",religious,https://www.wga.hu/html/q/quercia/priamo/pellegri.html
22761,"QUERCIA, Priamo della",1401-1450,c. 1430,Madonna and Child Enthroned with Adoring Angels,"Tempera on panel, gold ground, 67 x 53 cm",religious,https://www.wga.hu/html/q/quercia/priamo/madchild.html
22762,"QUERFURT, August",1701-1750,-,Cavalry Engagement,"Oil on canvas, 107 x 144 cm",historical,https://www.wga.hu/html/q/querfurt/cavalry.html
22763,"QUERFURT, August",1701-1750,-,After the Hunt,"Oil on panel, 21 x 32 cm",genre,https://www.wga.hu/html/q/querfurt/hunt1.html
22764,"QUERFURT, August",1701-1750,-,At the Field Camp,"Oil on panel, 21 x 32 cm",genre,https://www.wga.hu/html/q/querfurt/hunt2.html
22765,"QUESNEL, François",1551-1600,-,Portrait of a Lady in a Black Robe.,"Oil on panel, 77 x 63 cm",portrait,https://www.wga.hu/html/q/quesnel/portrai1.html
22766,"QUESNEL, François",1551-1600,1572,Mary Ann Waltham,Oil on panel,portrait,https://www.wga.hu/html/q/quesnel/mary_ann.html
22767,"QUESNEL, François",1551-1600,1582-86,"Henri III, King of France","Oil on panel, 66 x 52 cm",portrait,https://www.wga.hu/html/q/quesnel/henri3.html
22768,"QUESNEL, François",1551-1600,1582-86,"Henri III, King of France","Oil on panel, 66 x 52 cm",portrait,https://www.wga.hu/html/q/quesnel/henri3a.html
22769,"QUESNEL, François",1551-1600,c. 1593,Portrait of Jeanne de Bourdeille,"Oil on canvas, 129 x 97 cm",portrait,https://www.wga.hu/html/q/quesnel/portrai2.html
22770,"QUILLARD, Pierre-Antoine",1701-1750,-,Amorous Couples in a Garden Setting,"Oil on canvas, 83 x 117 cm",genre,https://www.wga.hu/html/q/quillard/garden1.html
22771,"QUILLARD, Pierre-Antoine",1701-1750,-,Elegantly Dressed Group in a Garden Setting,"Oil on canvas, 83 x 117 cm",genre,https://www.wga.hu/html/q/quillard/garden2.html
22772,"QUINSA, Giovanni",1601-1650,-,Still-Life,"Oil on canvas, 58 x 106 cm",still-life,https://www.wga.hu/html/q/quinsa/stillife.html
22773,"QUINSA, Giovanni",1601-1650,c. 1640,Still-Life with a Breakfast Table,Oil on canvas,still-life,https://www.wga.hu/html/q/quinsa/stillifx.html
