ID,AUTHOR,TIMELINE,DATE,TITLE,TECHNIQUE,TYPE,URL
24999,"SABATELLI, Luigi",1801-1850,1819-25,Olympus,Fresco,mythological,https://www.wga.hu/html/s/sabatell/olympus.html
25000,"SABATINI, Lorenzo",1551-1600,c. 1562,Judith with the Head of Holofernes,"Oil on canvas, 110 x 85 cm",religious,https://www.wga.hu/html/s/sabatini/judith.html
25001,"SABATINI, Lorenzo",1551-1600,c. 1565,Allegory of the Geometry,Oil on canvas,mythological,https://www.wga.hu/html/s/sabatini/allegory.html
25002,"SABLET, Jacques Henri",1751-1800,1791,Roman Elegy,Oil on canvas,mythological,https://www.wga.hu/html/s/sablet/jacques/romelegy.html
25003,"SABLET, Jean-François",1751-1800,1794,Portrait of a Conventionnaire in the Revolution,"Oil on panel, 65 x 55 cm",portrait,https://www.wga.hu/html/s/sablet/jean/portrait.html
25004,"SABLET, Jean-François",1751-1800,1805,Portrait of Louis Crucy in a Shipyard,"Oil on canvas, 65 x 54 cm",portrait,https://www.wga.hu/html/s/sablet/jean/portcruc.html
25005,"SACCHI, Andrea",1601-1650,-,Venus at Rest,"Oil on canvas, 58 x 77 cm",mythological,https://www.wga.hu/html/s/sacchi/venusres.html
25006,"SACCHI, Andrea",1601-1650,1629-30,Ceiling fresco,Fresco,mythological,https://www.wga.hu/html/s/sacchi/barberin.html
25007,"SACCHI, Andrea",1601-1650,1633,St Francis Marrying Poverty,Oil on canvas 292 x 201 cm,religious,https://www.wga.hu/html/s/sacchi/francis.html
25008,"SACCHI, Andrea",1601-1650,1634,The Three Magdalenes,"Oil on canvas, 68 x 50,5 cm",religious,https://www.wga.hu/html/s/sacchi/3magdale.html
25009,"SACCHI, Andrea",1601-1650,1641,Marcantonio Pasquilini Crowned by Apollo,"Oil on canvas, 244 x 194 cm",mythological,https://www.wga.hu/html/s/sacchi/pasquili.html
25010,"SACCHI, Andrea",1601-1650,before 1627,Sts Anthony Abbot and Francis of Assisi,"Oil on canvas, 61 x 78 cm",religious,https://www.wga.hu/html/s/sacchi/2saints.html
25011,"SACCHI, Andrea",1601-1650,c. 1630,Hagar and Ismail in the Desert,"Oil on canvas, 96 x 92 cm",religious,https://www.wga.hu/html/s/sacchi/hagar.html
25012,"SACCHI, Andrea",1601-1650,c. 1630,Portrait of Monsignor Clemente Merlini,Oil on canvas,portrait,https://www.wga.hu/html/s/sacchi/merlini.html
25013,"SACCHI, Andrea",1601-1650,c. 1631,The Vision of St Romuald,"Oil on canvas, 310 x 175 cm",religious,https://www.wga.hu/html/s/sacchi/romuald.html
25014,"SAENREDAM, Pieter Jansz",1601-1650,-,Interior of the St. Jans Kerk at Utrecht,Oil on wood,interior,https://www.wga.hu/html/s/saenreda/pieter/3utrech4.html
25015,"SAENREDAM, Pieter Jansz",1601-1650,1630,Interior of the Sint-Bavokerk at Haarlem,"Oil on wood, 41 x 37 cm",interior,https://www.wga.hu/html/s/saenreda/pieter/2bavo3.html
25016,"SAENREDAM, Pieter Jansz",1601-1650,1635,"Choir of Sint-Bavokerk, Haarlem","Oil on oak, 48 x 37 cm",interior,https://www.wga.hu/html/s/saenreda/pieter/2bavo6.html
25017,"SAENREDAM, Pieter Jansz",1601-1650,1636,Interior of the Sint-Bavokerk in Haarlem,"Oil on panel, 96 x 57 cm",interior,https://www.wga.hu/html/s/saenreda/pieter/2bavo7.html
25018,"SAENREDAM, Pieter Jansz",1601-1650,1642,Interior of the St Jacob Church in Utrecht,"Oil on wood, 55,2 x 43,4 cm",interior,https://www.wga.hu/html/s/saenreda/pieter/3utrech2.html
25019,"SAENREDAM, Pieter Jansz",1601-1650,1644,The Interior of the Buurkerk at Utrecht,"Oil on oak, 60 x 50 cm",interior,https://www.wga.hu/html/s/saenreda/pieter/3utrech1.html
25020,"SAENREDAM, Pieter Jansz",1601-1650,1648,Interior of the Sint-Bavokerk in Haarlem,"Oil on panel, 200 x 140 cm",interior,https://www.wga.hu/html/s/saenreda/pieter/2bavo4.html
25021,"SAENREDAM, Pieter Jansz",1601-1650,1649,"Interior of the Church of St Odulphus, Assendelft","Oil on panel, 50 x 76 cm",interior,https://www.wga.hu/html/s/saenreda/pieter/1assende.html
25022,"SAENREDAM, Pieter Jansz",1601-1650,1649,"Interior of the Church of St Odulphus, Assendelft (detail)",Oil on panel,interior,https://www.wga.hu/html/s/saenreda/pieter/1assendf.html
25023,"SAENREDAM, Pieter Jansz",1601-1650,1652,Interior of the Church of St Anne in Haarlem,"Oil on panel, 66 x 93 cm",interior,https://www.wga.hu/html/s/saenreda/pieter/2stanne.html
25024,"SAENREDAM, Pieter Jansz",1601-1650,1653,"Interior View of the Nieuwe Kerk, Haarlem","Oil on oak panel, 86 x 103 cm",interior,https://www.wga.hu/html/s/saenreda/pieter/2nieuwe.html
25025,"SAENREDAM, Pieter Jansz",1601-1650,1654,The Buurkerk at Utrecht,Oil on wood,interior,https://www.wga.hu/html/s/saenreda/pieter/3utrech3.html
25026,"SAENREDAM, Pieter Jansz",1601-1650,1657,The Old Town Hall in Amsterdam,"Oil on panel, 65 x 85 cm",landscape,https://www.wga.hu/html/s/saenreda/pieter/4amster1.html
