ID,AUTHOR,TIMELINE,DATE,TITLE,TECHNIQUE,TYPE,URL
26859,TADDEO DI BARTOLO,1351-1400,-,Head of an Angel,"Tempera on panel, gold ground, 42 x 32 cm",religious,https://www.wga.hu/html/t/taddeo/head_ang.html
26860,TADDEO DI BARTOLO,1351-1400,1393,Last Judgment (detail),Panel,religious,https://www.wga.hu/html/t/taddeo/lastjudg.html
26861,TADDEO DI BARTOLO,1351-1400,1395,Virgin and Child with St John the Baptist and St Andrew,"Tempera on panel, 114 x 72 cm (centre), 105 x 43 cm (each wing)",religious,https://www.wga.hu/html/t/taddeo/virgin.html
26862,TADDEO DI BARTOLO,1351-1400,1409,The Funeral of the Virgin,"Fresco, 320 x 345 cm",religious,https://www.wga.hu/html/t/taddeo/funeral.html
26863,TADDEO DI BARTOLO,1351-1400,1413-14,Allegories and Figures from Roman History,"Fresco, 270 x 320 cm (each lunette)",mythological,https://www.wga.hu/html/t/taddeo/allegory.html
26864,TADDEO DI BARTOLO,1351-1400,c. 1391,St Gimignano,Tempera on panel,religious,https://www.wga.hu/html/t/taddeo/gimignan.html
26865,TADDEO DI BARTOLO,1351-1400,c. 1391,San Gimignano (detail),Tempera on panel,other,https://www.wga.hu/html/t/taddeo/gimignax.html
26866,TADDEO DI BARTOLO,1351-1400,c. 1400,Virgin and Child,"Tempera on poplar panel, gold ground, 104 x 69 cm",religious,https://www.wga.hu/html/t/taddeo/virgin_c.html
26867,"TAMAGNI, Vincenzo",1501-1550,-,Portrait of a Lady in a Crimson Dress,"Oil on panel, 94 x 71 cm",portrait,https://www.wga.hu/html/t/tamagni/portrait.html
26868,"TAMM, Franz Werner von",1651-1700,-,Two Doves,"Oil on canvas, 40 x 57 cm",genre,https://www.wga.hu/html/t/tamm/twodoves.html
26869,"TAMM, Franz Werner von",1651-1700,1685,Still-Life of Fruit,"Oil on canvas, 88 x 128 cm",still-life,https://www.wga.hu/html/t/tamm/stillife.html
26870,"TAMM, Franz Werner von",1651-1700,1707,"Flowers, Fruit, and Poultry","Oil on canvas, 104 x 211 cm",still-life,https://www.wga.hu/html/t/tamm/flowers.html
26871,"TAMM, Franz Werner von",1651-1700,1707,"Flowers, Fruit, and Poultry (detail)",Oil on canvas,still-life,https://www.wga.hu/html/t/tamm/flowers1.html
26872,TANZIO DA VARALLO,1601-1650,1620s,Portrait of a Gentleman,"Oil on canvas, 46 x 36 cm",portrait,https://www.wga.hu/html/t/tanzio/portrai2.html
26873,TANZIO DA VARALLO,1601-1650,1624-26,David with the Head of Goliath,"Oil on canvas, 120 x 90 cm",religious,https://www.wga.hu/html/t/tanzio/david.html
26874,TANZIO DA VARALLO,1601-1650,1624-26,David with the Head of Goliath (detail),Oil on canvas,religious,https://www.wga.hu/html/t/tanzio/david1.html
26875,TANZIO DA VARALLO,1601-1650,1624-26,St Jerome,"Oil on canvas, 80 x 64 cm",religious,https://www.wga.hu/html/t/tanzio/jerome.html
26876,TANZIO DA VARALLO,1601-1650,1627-28,St John the Baptist in the Desert,"Oil on canvas, 159 x 112 cm",religious,https://www.wga.hu/html/t/tanzio/johnbapt.html
26877,TANZIO DA VARALLO,1601-1650,c. 1615,Portrait of a Gentleman with a Sword,"Oil on canvas, 78 x 62 cm",portrait,https://www.wga.hu/html/t/tanzio/portrai1.html
26878,TANZIO DA VARALLO,1601-1650,c. 1625,Ecce Homo,"Oil on panel, 42 x 30 cm",religious,https://www.wga.hu/html/t/tanzio/eccehomo.html
26879,TANZIO DA VARALLO,1601-1650,c. 1632,St Onofrio,"Oil on canvas, 90 x 115 cm",religious,https://www.wga.hu/html/t/tanzio/onofrio.html
26880,"TARAVAL, Guillaume-Thomas-Raphaël",1701-1750,-,Young Christ Standing on a Snake,"Oil on panel, 45 x 33 cm",religious,https://www.wga.hu/html/t/taraval/guillaum/christ_s.html
