ID,AUTHOR,TIMELINE,DATE,TITLE,TECHNIQUE,TYPE,URL
28535,"UBERTI, Pietro",1701-1750,-,Portraits of Three Avogadri,Oil on canvas,portrait,https://www.wga.hu/html/u/uberti/avogadri.html
28536,"UCCELLO, Paolo",1401-1450,1430s,Portrait of a Man,"Tempera on poplar panel, 42 x 33 cm",portrait,https://www.wga.hu/html/u/uccello/6various/3portr_m.html
28537,"UCCELLO, Paolo",1401-1450,1432-36,Genesis cycle (detail),Fresco,religious,https://www.wga.hu/html/u/uccello/1green/0green.html
28538,"UCCELLO, Paolo",1401-1450,1432-36,Creation of the Animals and Creation of Adam,"Fresco, 244 x 478 cm",religious,https://www.wga.hu/html/u/uccello/1green/1green.html
28539,"UCCELLO, Paolo",1401-1450,1432-36,Creation of Adam,Fresco,religious,https://www.wga.hu/html/u/uccello/1green/1green1.html
28540,"UCCELLO, Paolo",1401-1450,1432-36,Creation of Eve and Original Sin,"Fresco, 244 x 478 cm",religious,https://www.wga.hu/html/u/uccello/1green/2green.html
28541,"UCCELLO, Paolo",1401-1450,1432-36,Creation of Eve and Original Sin (detail),Fresco,religious,https://www.wga.hu/html/u/uccello/1green/2green1.html
28542,"UCCELLO, Paolo",1401-1450,1435-40,St John on Patmos (Quarate predella),"Panel, 20,5 x 41 cm",religious,https://www.wga.hu/html/u/uccello/6various/2quarat1.html
28543,"UCCELLO, Paolo",1401-1450,1435-40,Adoration of the Magi (Quarate predella),"Panel, 20,5 x 82 cm",religious,https://www.wga.hu/html/u/uccello/6various/2quarat2.html
28544,"UCCELLO, Paolo",1401-1450,1435-40,"Adoration of the Magi (Quarate predella, detail)",Panel,religious,https://www.wga.hu/html/u/uccello/6various/2quarat3.html
28545,"UCCELLO, Paolo",1401-1450,1435-40,Sts John and Ansano (Quarate predella),"Panel, 20,5 x 41 cm",religious,https://www.wga.hu/html/u/uccello/6various/2quarat4.html
28546,"UCCELLO, Paolo",1401-1450,1436,Funerary Monument to Sir John Hawkwood,"Fresco, 820 x 515 cm",other,https://www.wga.hu/html/u/uccello/3florenc/1hawkwoo.html
28547,"UCCELLO, Paolo",1401-1450,1436,Funerary Monument to Sir John Hawkwood,"Fresco, 820 x 515 cm",religious,https://www.wga.hu/html/u/uccello/3florenc/2hawkwoo.html
28548,"UCCELLO, Paolo",1401-1450,1440-42,Portrait of a Young Man,"Oil on canvas, 47 x 36 cm",portrait,https://www.wga.hu/html/u/uccello/6various/4portr_m.html
28549,"UCCELLO, Paolo",1401-1450,1440s,Portrait of a Woman,"Tempera on wood, 41 x 31 cm",portrait,https://www.wga.hu/html/u/uccello/6various/4portr_y.html
28550,"UCCELLO, Paolo",1401-1450,1443,Clock with Heads of Prophets,"Fresco, 470 x 470 cm",mythological,https://www.wga.hu/html/u/uccello/3florenc/3clock.html
28551,"UCCELLO, Paolo",1401-1450,1443,Head of Prophet,Fresco,mythological,https://www.wga.hu/html/u/uccello/3florenc/3clock1.html
28552,"UCCELLO, Paolo",1401-1450,1443,Head of Prophet,Fresco,mythological,https://www.wga.hu/html/u/uccello/3florenc/3clock2.html
28553,"UCCELLO, Paolo",1401-1450,1443,Head of Prophet,Fresco,mythological,https://www.wga.hu/html/u/uccello/3florenc/3clock3.html
28554,"UCCELLO, Paolo",1401-1450,1443,Head of Prophet,Fresco,mythological,https://www.wga.hu/html/u/uccello/3florenc/3clock4.html
28555,"UCCELLO, Paolo",1401-1450,1447-48,Flood and Waters Subsiding,"Fresco, 215 x 510 cm",religious,https://www.wga.hu/html/u/uccello/1green/3green.html
28556,"UCCELLO, Paolo",1401-1450,1447-48,Flood and Waters Subsiding (detail),Fresco,religious,https://www.wga.hu/html/u/uccello/1green/3green1.html
28557,"UCCELLO, Paolo",1401-1450,1447-48,Flood and Waters Subsiding (detail),Fresco,religious,https://www.wga.hu/html/u/uccello/1green/3green2.html
28558,"UCCELLO, Paolo",1401-1450,1447-48,Noah's Sacrifice and Noah's Drunkenness,"Fresco, 277 x 540 cm",religious,https://www.wga.hu/html/u/uccello/1green/4green.html
28559,"UCCELLO, Paolo",1401-1450,1450s,Niccolò da Tolentino Leads the Florentine Troops,"Tempera on wood, 182 x 320 cm",historical,https://www.wga.hu/html/u/uccello/4battle/1battle.html
28560,"UCCELLO, Paolo",1401-1450,1450s,Niccolò da Tolentino Leads the Florentine Troops (detail),"Tempera on wood, 182 x 320 cm",historical,https://www.wga.hu/html/u/uccello/4battle/1battle1.html
28561,"UCCELLO, Paolo",1401-1450,1450s,Bernardino della Ciarda Thrown Off His Horse,"Tempera on wood, 182 x 220 cm",historical,https://www.wga.hu/html/u/uccello/4battle/2battle.html
28562,"UCCELLO, Paolo",1401-1450,1450s,Bernardino della Ciarda Thrown Off His Horse (detail),Tempera on wood,historical,https://www.wga.hu/html/u/uccello/4battle/2battle1.html
28563,"UCCELLO, Paolo",1401-1450,1450s,Bernardino della Ciarda Thrown Off His Horse (detail),Tempera on wood,historical,https://www.wga.hu/html/u/uccello/4battle/2battle2.html
28564,"UCCELLO, Paolo",1401-1450,1450s,Bernardino della Ciarda Thrown Off His Horse (detail),Tempera on wood,historical,https://www.wga.hu/html/u/uccello/4battle/2battle3.html
28565,"UCCELLO, Paolo",1401-1450,1450s,Micheletto da Cotignola Engages in Battle,"Tempera on wood, 180 x 316 cm",historical,https://www.wga.hu/html/u/uccello/4battle/3battle.html
28566,"UCCELLO, Paolo",1401-1450,1450s,Micheletto da Cotignola Engages in Battle (detail),Tempera on wood,historical,https://www.wga.hu/html/u/uccello/4battle/3battle1.html
28567,"UCCELLO, Paolo",1401-1450,1450s,Portrait of a Lady,"Oil on canvas, 39 x 26 cm",portrait,https://www.wga.hu/html/u/uccello/6various/4portr_w.html
28568,"UCCELLO, Paolo",1401-1450,1458-60,St George and the Dragon,"Oil on canvas, 52 x 90 cm",religious,https://www.wga.hu/html/u/uccello/6various/5dragon2.html
28569,"UCCELLO, Paolo",1401-1450,1460-65,Crucifixion,"Tempera on panel, 45 x 67 cm",religious,https://www.wga.hu/html/u/uccello/6various/3crucifi.html
28570,"UCCELLO, Paolo",1401-1450,1460s,The Hunt in the Forest,"Tempera on wood, 65 x 165 cm",landscape,https://www.wga.hu/html/u/uccello/6various/6hunt.html
28571,"UCCELLO, Paolo",1401-1450,1460s,Scenes from the Life of the Holy Hermits,"Tempera on canvas, 81 x 110 cm",religious,https://www.wga.hu/html/u/uccello/6various/7hermits.html
28572,"UCCELLO, Paolo",1401-1450,1465-69,Miracle of the Desecrated Host (Scene 1),"Panel, 43 x 58 cm",religious,https://www.wga.hu/html/u/uccello/5miracle/miracle1.html
28573,"UCCELLO, Paolo",1401-1450,1465-69,Miracle of the Desecrated Host (Scene 2),"Panel, 43 x 58 cm",religious,https://www.wga.hu/html/u/uccello/5miracle/miracle2.html
28574,"UCCELLO, Paolo",1401-1450,1465-69,Miracle of the Desecrated Host (Scene 3),"Panel, 43 x 58 cm",religious,https://www.wga.hu/html/u/uccello/5miracle/miracle3.html
28575,"UCCELLO, Paolo",1401-1450,1465-69,Miracle of the Desecrated Host (Scene 4),"Panel, 43 x 58 cm",religious,https://www.wga.hu/html/u/uccello/5miracle/miracle4.html
28576,"UCCELLO, Paolo",1401-1450,1465-69,Miracle of the Desecrated Host (Scene 5),"Panel, 43 x 58 cm",religious,https://www.wga.hu/html/u/uccello/5miracle/miracle5.html
28577,"UCCELLO, Paolo",1401-1450,1465-69,Miracle of the Desecrated Host (Scene 6),"Panel, 43 x 58 cm",religious,https://www.wga.hu/html/u/uccello/5miracle/miracle6.html
28578,"UCCELLO, Paolo",1401-1450,c. 1435,Disputation of St Stephen,"Fresco, 300 x 360 cm",religious,https://www.wga.hu/html/u/uccello/2prato/01prato.html
28579,"UCCELLO, Paolo",1401-1450,c. 1435,Stoning of St Stephen,"Fresco, 310 x 420 cm",religious,https://www.wga.hu/html/u/uccello/2prato/02prato.html
28580,"UCCELLO, Paolo",1401-1450,c. 1435,Birth of the Virgin,"Fresco, 302 x 361 cm",religious,https://www.wga.hu/html/u/uccello/2prato/03prato.html
28581,"UCCELLO, Paolo",1401-1450,c. 1435,Birth of the Virgin (detail),Fresco,religious,https://www.wga.hu/html/u/uccello/2prato/03prato1.html
28582,"UCCELLO, Paolo",1401-1450,c. 1435,Mary's Presentation in the Temple,"Fresco, 335 x 420 cm",religious,https://www.wga.hu/html/u/uccello/2prato/04prato.html
28583,"UCCELLO, Paolo",1401-1450,c. 1435,Roundel with Head,Fresco,portrait,https://www.wga.hu/html/u/uccello/2prato/05prato.html
