ID,AUTHOR,TIMELINE,DATE,TITLE,TECHNIQUE,TYPE,URL
29309,"VAARDT, Jan van der",1651-1700,-,Portrait of Miss Katherine Bristow,"Oil on canvas, 127 x 102 cm",portrait,https://www.wga.hu/html/v/vaardt/bristow.html
29310,"VACCARO, Andrea",1601-1650,-,Assumption of the Virgin,"Oil on canvas, 78 x 63 cm",religious,https://www.wga.hu/html/v/vaccar/assumpti.html
29311,"VACCARO, Andrea",1601-1650,-,Martyrdom of St Bartholomew,"Oil on canvas, 97 x 120 cm",religious,https://www.wga.hu/html/v/vaccar/martyrd1.html
29312,"VACCARO, Andrea",1601-1650,-,St Stephen Taken to His Martyrdom,"Oil on canvas, 97 x 120 cm",religious,https://www.wga.hu/html/v/vaccar/martyrd2.html
29313,"VACCARO, Andrea",1601-1650,1631-32,David with the Head of Goliath,"Oil on canvas, 145 x 114 cm",religious,https://www.wga.hu/html/v/vaccar/david.html
29314,"VACCARO, Andrea",1601-1650,c.1640,The Martyrdom of St Sebastian,"Oil on canvas, 130 x 102 cm",religious,https://www.wga.hu/html/v/vaccar/sebastia.html
29315,"VADDER, Lodewijk de",1601-1650,-,Farmhouses on a Sandy Road near a Well,"Oil on panel, 24 x 35 cm",landscape,https://www.wga.hu/html/v/vadder/farmhous.html
29316,"VADDER, Lodewijk de",1601-1650,-,Landscape with Figures and Animals,"Oil on canvas, 57 x 68 cm",landscape,https://www.wga.hu/html/v/vadder/land_fig.html
29317,"VADDER, Lodewijk de",1601-1650,-,Landscape before the Rain,"Oil on oak, 32 x 45,7 cm",landscape,https://www.wga.hu/html/v/vadder/landscap.html
29318,"VADDER, Lodewijk de",1601-1650,-,The Soignes Forest,"Oil on canvas, 175 x 230 cm",landscape,https://www.wga.hu/html/v/vadder/soignes.html
29319,"VADDER, Lodewijk de",1601-1650,-,A Wooded Dune Landscape,"Oil on panel, 45 x 63 cm",landscape,https://www.wga.hu/html/v/vadder/wooddune.html
29320,"VADDER, Lodewijk de",1601-1650,-,Wooded Landscape,"Oil on panel, 48 x 65 cm",landscape,https://www.wga.hu/html/v/vadder/woodedla.html
