ID,AUTHOR,TIMELINE,DATE,TITLE,TECHNIQUE,TYPE,URL
30808,"WAEL, Cornelis de",1601-1650,-,An Elegant Company,"Oil on canvas, 55 x 70 cm",genre,https://www.wga.hu/html/w/wael/elegant.html
30809,"WAEL, Cornelis de",1601-1650,-,Bamboccianti Ruins,"Oil on panel, 41 x 86 cm",landscape,https://www.wga.hu/html/w/wael/ruins.html
30810,"WAEL, Cornelis de",1601-1650,-,Soldiers before a Tavern,"Oil on canvas, 92 x 60 cm",genre,https://www.wga.hu/html/w/wael/soldiers.html
30811,"WAEL, Cornelis de",1601-1650,1640s,A Camp by the Ruins,"Oil on canvas, 102 x 147 cm",landscape,https://www.wga.hu/html/w/wael/campruin.html
30812,"WAHL, Johann Salomon",1701-1750,-,"Gerhard Morell, Keeper of the Royal Danish Kunstkammer","Oil on canvas, 78 x 63 cm",portrait,https://www.wga.hu/html/w/wahl/morell.html
30813,"WAITT, Richard",1701-1750,1725-30,Portrait of John 20th Earl of Crawford and Lindsay,Oil on canvas laid onto board,portrait,https://www.wga.hu/html/w/waitt/crawford.html
30814,"WAITT, Richard",1701-1750,1728,Self-Portrait,"Oil on canvas, 107 x 127 cm",portrait,https://www.wga.hu/html/w/waitt/selfport.html
30815,"WAITT, Richard",1701-1750,1731,The Cromartie Fool,"Oil on canvas, 72 x 60 cm",portrait,https://www.wga.hu/html/w/waitt/cromarti.html
30816,"WALDMÜLLER, Fedinand Georg",1801-1850,1821,Martyrdom of St Andrew,"Oil on canvas, 104 x 92 cm",religious,https://www.wga.hu/html/w/waldmull/martyrdo.html
30817,"WALDMÜLLER, Fedinand Georg",1801-1850,1833,The Schönberg Seen from Hoisernradalpe,"Oil on canvas, 31 x 26 cm",landscape,https://www.wga.hu/html/w/waldmull/schonber.html
30818,"WALDMÜLLER, Fedinand Georg",1801-1850,1834,Children,"Oil on panel, 25 x 31 cm",genre,https://www.wga.hu/html/w/waldmull/children.html
30819,"WALDMÜLLER, Fedinand Georg",1801-1850,1835,The Eltz Family,"Oil on canvas, 124 x 110 cm",portrait,https://www.wga.hu/html/w/waldmull/the_eltz.html
30820,"WALDMÜLLER, Fedinand Georg",1801-1850,1836,Waldmüller's Son Ferdinand with Dog,"Oil on canvas, 39 x 31 cm",portrait,https://www.wga.hu/html/w/waldmull/son_dog.html
30821,"WALDMÜLLER, Fedinand Georg",1801-1850,1838,The Gierster Family,"Oil on canvas, 174 x 143 cm",portrait,https://www.wga.hu/html/w/waldmull/gierster.html
30822,"WALDMÜLLER, Fedinand Georg",1801-1850,1840,The Birthday Table,"Oil on oak panel, 63 x 50 cm",still-life,https://www.wga.hu/html/w/waldmull/birthday.html
30823,"WALDMÜLLER, Fedinand Georg",1801-1850,1840,Young Peasant Woman with Three Children at the Window,"Oil on canvas, 85 x 68 cm",portrait,https://www.wga.hu/html/w/waldmull/young_pe.html
30824,"WALDMÜLLER, Fedinand Georg",1801-1850,1842,Portrait of György Gaál,"Oil on canvas, 64 x 51 cm",portrait,https://www.wga.hu/html/w/waldmull/portrait.html
30825,"WALDMÜLLER, Fedinand Georg",1801-1850,1853,Children at the Window,"Oil on canvas, 85 x 69 cm",genre,https://www.wga.hu/html/w/waldmull/young_wi.html
30826,"WALDMÜLLER, Fedinand Georg",1801-1850,1856,The Grandmother's Birthday,"Oil on panel, 71 x 58 cm",genre,https://www.wga.hu/html/w/waldmull/grandmot.html
30827,"WALDMÜLLER, Fedinand Georg",1801-1850,1859,After Confiscation,"Oil on wood, 73 x 90 cm",genre,https://www.wga.hu/html/w/waldmull/confisca.html
