ID,AUTHOR,TIMELINE,DATE,TITLE,TECHNIQUE,TYPE,URL
31475,"YKENS, Catharina II",1651-1700,-,Garland with Landscape,"Oil on canvas, 90 x 71 cm",still-life,https://www.wga.hu/html/y/ykens1/catharin/garland1.html
31476,"YKENS, Catharina II",1651-1700,-,Landscape within a Garland,"Oil on canvas, 90 x 70 cm",still-life,https://www.wga.hu/html/y/ykens1/catharin/garland2.html
31477,"YKENS, Catharina II",1651-1700,1688,Vanitas Bust of a Lady,"Oil on oak panel, 21 x 21 cm",still-life,https://www.wga.hu/html/y/ykens1/catharin/bustlady.html
31478,"YKENS, Frans",1601-1650,-,Flower Garland around the Holy Family,"Oil on canvas, 147 x 120 cm",religious,https://www.wga.hu/html/y/ykens/garland.html
31479,"YKENS, Frans",1601-1650,-,Still-Life,"Oil on panel, 48 x 73 cm",still-life,https://www.wga.hu/html/y/ykens/stillif1.html
31480,"YKENS, Frans",1601-1650,-,Pronk Still-Life,"Oil on canvas, 105 x 139 cm",still-life,https://www.wga.hu/html/y/ykens/stillif4.html
31481,"YKENS, Frans",1601-1650,-,Still-Life,"Oil on oak panel, 83 x 60 cm",still-life,https://www.wga.hu/html/y/ykens/stillif7.html
31482,"YKENS, Frans",1601-1650,-,Still-Life,"Oil on panel, 33 x 34 cm",still-life,https://www.wga.hu/html/y/ykens/stillife.html
31483,"YKENS, Frans",1601-1650,1646,Still-Life,"Oil on canvas, 107 x 173 cm",still-life,https://www.wga.hu/html/y/ykens/stillif2.html
31484,"YKENS, Frans",1601-1650,1646,Still-Life,"Oil on panel, 74 x 105 cm",still-life,https://www.wga.hu/html/y/ykens/stillif3.html
31485,"YKENS, Frans",1601-1650,1649,Still-Life,"Oil on canvas, 40 x 53 cm",still-life,https://www.wga.hu/html/y/ykens/stillif5.html
31486,"YKENS, Frans",1601-1650,1649,Still-Life (detail),Oil on canvas,still-life,https://www.wga.hu/html/y/ykens/stillif6.html
31487,"YKENS, Peter",1651-1700,-,Architectural Capriccio,"Oil on canvas, 61 x 70 cm",other,https://www.wga.hu/html/y/ykens1/peter/capricci.html
31488,"YKENS, Peter",1651-1700,-,A Lady Adorning a Sculpted Urn,"Oil on canvas, 157 x 104 cm",still-life,https://www.wga.hu/html/y/ykens1/peter/lady_urn.html
31489,"YKENS, Peter",1651-1700,c. 1685,Orpheus Playing the Lyre to Hades and Persephone,"Tapestry, wool and silk, 299 x 328 cm",mythological,https://www.wga.hu/html/y/ykens1/peter/tapestry.html
31490,"YVON, Adolphe",1851-1900,-,"Taking of the Gorge de Malakoff, September 1855","Oil on canvas, 103 x 152 cm",historical,https://www.wga.hu/html/y/yvon/malakoff.html
31491,"YVON, Adolphe",1851-1900,1868,Portrait of Napoleon III,"Oil on canvas, 56 x 47 cm",portrait,https://www.wga.hu/html/y/yvon/napoleo3.html
31492,"YÁÑEZ DE LA ALMEDINA, Fernando",1501-1550,1505-10,Saint Catherine,"Oil on canvas, 212 x 112 cm",religious,https://www.wga.hu/html/y/yanez/catherin.html
31493,"YÁÑEZ DE LA ALMEDINA, Fernando",1501-1550,1507,Rest during the Flight to Egypt,"Oil on panel, 194 x 227 cm",religious,https://www.wga.hu/html/y/yanez/d_virgin.html
31494,"YÁÑEZ DE LA ALMEDINA, Fernando",1501-1550,c. 1505,Madonna and Child with Infant St John,"Oil on panel, 78 x 64 cm",religious,https://www.wga.hu/html/y/yanez/madonna.html
